Sanskrit,Without Sandhi,Multipule Morphology,Morph in Context,Samaasa structural analysis,Samaasa vigraha,Kaaraka relation,Category,Hindi Meaning,English Meaning,Derivational Meaning,Sandhi rules,Meter: Guru-Laghu
दृष्ट्वा,दृष्ट्वा,दृश्1{कृत्_प्रत्ययः:क्त्वा;दृशिँर्;भ्वादिः},दृश्{कृत्_प्रत्ययः:क्त्वा;दृशिँर्;भ्वादिः},-,-,पूर्वकालः 11,-,देखकर,after_seeing,-,-,LLGGLG
तु,तु,तु{अव्य},तु{अव्य},-,-,-,-,और,but,-,-,LL
आचार्यम्,आचार्यमुपसङ्गम्य,आचार्य{पुं}{2;एक},आचार्य{पुं}{2;एक},-,-,कर्म 9,-,द्रोणाचार्य_के,the_teacher,धीः बुद्धिः अस्यास्तीति धीमान् तेन,-,GLG
उपसङ्गम्य,-,उपसङ्गम्य,उप_सम्_गम्{कृत्_प्रत्ययः:ल्यप्;उप_सम्_गमॢँ;भ्वादिः},-,-,पूर्वकालः 11,-,पास_जाकर,approaching,-,-,GGL
वचनम्,वचनमब्रवीत्,वचन{नपुं}{1;एक}/वचन{नपुं}{2;एक},वचन{नपुं}{2;एक},-,-,कर्म 11,-,वचन,words,-,-,LLLGGL
अब्रवीत्,-,ब्रू1{कर्तरि;लङ्;प्र;एक;परस्मैपदी;ब्रूञ्;अदादिः},ब्रू{कर्तरि;लङ्;प्र;एक;परस्मैपदी;ब्रूञ्;अदादिः},-,-,-,-,कहा,spoke,-,-,GG
1.3.Aआचार्य,1.3.B-,1.3.Cआचार्य{पुं}{8;एक},1.3.Dआचार्य{पुं}{8;एक},1.3.E-,1.3.F-,1.3.Gसम्बोध्यः 11,1.3.H-,1.3.Iहे_आचार्य,1.3.JO_teacher,-,-,GLGGGLGL
तव,तव,युष्मद्{6;एक},युष्मद्{6;एक},-,-,षष्ठीसम्बन्धः 4,-,आपके,your,-,-,LLG
धीमता,धीमता,धीमत्{पुं}{3;एक}/धीमत्{नपुं}{3;एक},धीमत्{पुं}{3;एक},-,-,विशेषणम् 4,-,बुद्धिमान्,talented,-,-,GG
शिष्येण,शिष्येण,शिष्य{पुं}{3;एक},शिष्य{पुं}{3;एक},-,-,विशेषणम् 5,-,शिष्य,disciple,-,वृद्धि-सन्धिः (वृद्धिरेचि (6।1।88)),GGG
द्रुपद-पुत्रेण,द्रुपदपुत्रेण,द्रुपद-पुत्र{पुं}{3;एक},द्रुपद-पुत्र{पुं}{3;एक},<द्रुपद-पुत्रेण>T6,द्रुपदस्य पुत्रः = द्रुपदपुत्रः तेन द्रुपदपुत्रेण,कर्ता 6,-,द्रुपदपुत्र_धृष्टद्युम्न_द्वारा,by_the_son_of_Drupada,1.4.K-,1.4.L-,1.4.MGL
व्यूढाम्,व्यूढां,व्यूढा{स्त्री}{2;एक},व्यूढा{स्त्री}{2;एक},-,-,विशेषणम् 10,-,व्यूहाकार_खड़ी_की_हुई,arranged,-,रुत्व-उत्व-गुण-सन्धिः (ससजुषो रुः (8।2।66)-हशि च (6।1।114)-आद्गुणः (6।1।87)),LLGG
पाण्डु-पुत्राणाम्,पाण्डुपुत्राणामचार्य,पाण्डु-पुत्र{पुं}{6;बहु},पाण्डु-पुत्र{पुं}{6;बहु},<पाण्डु-पुत्राणाम्>T6,पाण्डोः पुत्राः = पाण्डुपुत्राः तेषां पाण्डुपुत्राणाम्,षष्ठीसम्बन्धः 10,-,पाण्डुपुत्रों_की,of_the_sons_of_Pandu,-,सत्व-श्चुत्व-सन्धिः (विसर्जनीयस्य सः (8।3।34)-स्तोः श्चुना श्चुः (8।4।40)),LGGL
एताम्,-,एता{स्त्री}{2;एक}/एतद्{स्त्री}{2;एक}/आङ्_इ1{कर्तरि;लोट्;प्र;द्वि;परस्मैपदी;इण्;अदादिः},एतद्{स्त्री}{2;एक},-,-,विशेषणम् 10,-,इस,this,-,-,LGLG
महतीम्,महतीं,महती{स्त्री}{2;एक},महती{स्त्री}{2;एक},-,-,विशेषणम् 10,-,बड़ी_भारी,great,-,सत्व-श्चुत्व-सन्धिः (विसर्जनीयस्य सः (8।3।34)-स्तोः श्चुना श्चुः (8।4।40)),LLGL
चमूम्,चमूम्,चमू{स्त्री}{2;एक},चमू{स्त्री}{2;एक},-,-,कर्म 11,-,सेना_को,military_force,-,सत्व-श्चुत्व-सन्धिः (विसर्जनीयस्य सः (8।3।34)-स्तोः श्चुना श्चुः (8।4।40)),GLGGGLGG
पश्य,पश्यैतां,दृश्1{कर्तरि;लोट्;म;एक;परस्मैपदी;दृशिँर्;भ्वादिः},दृश्{कर्तरि;लोट्;म;एक;परस्मैपदी;दृशिँर्;भ्वादिः},-,-,-,-,देखिये,behold,वीर्यं अस्यास्तीति,-,GLG
1.4.Aअत्र,1.4.Bअत्र,1.4.Cअत्र{अव्य},1.4.Dअत्र{अव्य},1.4.E-,1.4.F-,1.4.Gअधिकरणम् 35,1.4.H-,1.4.Iयहाँ,1.4.Jhere,-,सत्व-श्चुत्व-सन्धिः (विसर्जनीयस्य सः (8।3।34)-स्तोः श्चुना श्चुः (8।4।40)),GLGGL
युयुधानः,युयुधानो,युयुधान{पुं}{1;एक},युयुधान{पुं}{1;एक},-,-,समुच्चितम् 3,-,सात्यकि,Yuyudhana,-,चर्त्व-सन्धिः (खरि च (8।4।55)),LLGGLGGL
च,-,च{अव्य},च{अव्य},-,-,विशेषणम् 27,-,और,also,-,-,LLGLG
विराटः,विराटश्च,विराट{पुं}{1;एक},विराट{पुं}{1;एक},-,-,समुच्चितम् 3,-,विराट,Virata,-,सत्व-श्चुत्व-सन्धिः (विसर्जनीयस्य सः (8।3।34)-स्तोः श्चुना श्चुः (8।4।40)),GGL
च,-,च{अव्य},च{अव्य},-,-,-,-,तथा,also,-,रुत्व-यत्व-लोप-सन्धिः (ससजुषो रुः (8।2।66)-भोभगोअघो अपूर्वस्य योऽशि (8।3।17)-लोपः शाकल्यस्य (8।3।19)),GGL
महान्-रथः,महारथः,महान्-रथ{पुं}{1;एक},महान्-रथ{पुं}{1;एक},<महत्-रथः>Bs6,महान् रथः यस्य सः = महारथः,विशेषणम् 7,-,महारथी,great_warrior_chief,-,सत्व-श्चुत्व-सन्धिः (विसर्जनीयस्य सः (8।3।34)-स्तोः श्चुना श्चुः (8।4।40)),LGGGL
द्रुपदः,द्रुपदश्च,द्रुपद{पुं}{1;एक},द्रुपद{पुं}{1;एक},-,-,समुच्चितम् 3,-,राजा_द्रुपद,Drupada,-,-,GLG
धृष्टकेतुः,धृष्टकेतुश्चेकितानः,धृष्टकेतु{पुं}{1;एक},धृष्टकेतु{पुं}{1;एक},-,-,समुच्चितम् 3,-,धृष्टकेतु,Dhrstaketu,उत्तमम् ओजः यस्य सः,सत्व-श्चुत्व-सन्धिः (विसर्जनीयस्य सः (8।3।34)-स्तोः श्चुना श्चुः (8।4।40)),GGGGL
च,-,च{अव्य},च{अव्य},-,-,-,-,और,also,सुभद्रायाः अपत्यं,रुत्व-उत्व-गुण-सन्धिः (ससजुषो रुः (8।2।66)-हशि च (6।1।114)-आद्गुणः (6।1।87)),GGG
चेकितानः,-,चेकितान{पुं}{1;एक},चेकितान{पुं}{1;एक},-,-,समुच्चितम् 3,-,चेकितान,Cekitana,द्रोपद्याः अपत्यानि,सत्व-श्चुत्व-सन्धिः (विसर्जनीयस्य सः (8।3।34)-स्तोः श्चुना श्चुः (8।4।40)),GLGGL
च,-,च{अव्य},च{अव्य},-,-,-,-,तथा,and,-,यान्तवान्त-लोप-सन्धिः (एचोऽयवायावः (6।1।78)-लोपः शाकल्यस्य (8।3।19)),GL
वीर्यवान्,वीर्यवान्,वीर्यवत्{पुं}{1;एक}/वीर्यवत्{पुं}{1;एक},वीर्यवत्{पुं}{1;एक},-,-,विशेषणम् 13,-,बलवान्,valiant,-,-,GL
काशिराजः,काशिराजश्च,काशिराज{पुं}{1;एक},काशिराज{पुं}{1;एक},-,-,समुच्चितम् 3,-,काशिराज,Kasiraja,इषवः बाणाः अस्यन्ते क्षिप्यन्ते अनेनेति इष्वासः धनुः,रुत्व-यत्व-लोप-सन्धिः (ससजुषो रुः (8।2।66)-भोभगोअघो अपूर्वस्य योऽशि (8।3।17)-हलि सर्वेषाम् (8।3।22)),LGGG
पुरुजित्,पुरुजित्कुन्तिभोजश्च,पुरुजित्{पुं}{1;एक},पुरुजित्{पुं}{1;एक},-,-,समुच्चितम् 3,-,पुरुजित्,Purujit,-,-,LL
कुन्तिभोजः,-,कुन्तिभोज{पुं}{1;एक},कुन्तिभोज{पुं}{1;एक},-,-,समुच्चितम् 3,-,कुन्तिभोज,Kuntibhoja,-,रुत्व-यत्व-लोप-सन्धिः (ससजुषो रुः (8।2।66)-भोभगोअघो अपूर्वस्य योऽशि (8।3।17)-हलि सर्वेषाम् (8।3।22)),GGLLGG
च,-,च{अव्य},च{अव्य},-,-,-,-,और,and,-,रुत्व-यत्व-लोप-सन्धिः (ससजुषो रुः (8।2।66)-भोभगोअघो अपूर्वस्य योऽशि (8।3।17)-हलि सर्वेषाम् (8।3।22)),GG
नर-पुङ्गवः,नरपुङ्गवः,नर-पुङ्गव{पुं}{1;एक},नर-पुङ्गव{पुं}{1;एक},<नर-पुङ्गवः>T7,नरेषु पुङ्गवः = नरपुङ्गवः,विशेषणम् 18,-,मनुष्यों_में_श्रेष्ठ,the_best_of_men,-,-,LGLG
शैब्यः,शैब्यश्च,शैब्य{पुं}{1;एक},शैब्य{पुं}{1;एक},-,-,समुच्चितम् 3,-,शैब्य,Saibya,1.5.K-,1.5.L-,1.5.MLGGL
विक्रान्तः,विक्रान्त,विक्रान्त{पुं}{1;एक},विक्रान्त{पुं}{1;एक},-,-,विशेषणम् 20,-,पराक्रमी,mighty,-,-,GGG
युधामन्युः,युधामन्युश्च,युधामन्यु{पुं}{1;एक},युधामन्यु{पुं}{1;एक},-,-,समुच्चितम् 3,-,युधामन्यु,Yudhamanyu,-,-,L
च,-,च{अव्य},च{अव्य},-,-,-,-,तथा,and,-,-,G
वीर्यवान्,वीर्यवान्,वीर्यवत्{पुं}{1;एक}/वीर्यवत्{पुं}{1;एक},वीर्यवत्{पुं}{1;एक},-,-,विशेषणम् 23,-,बलवान्,valiant,-,रुत्व-यत्व-लोप-सन्धिः (ससजुषो रुः (8।2।66)-भोभगोअघो अपूर्वस्य योऽशि (8।3।17)-हलि सर्वेषाम् (8।3।22)),LGG
उत्तमौजाः,उत्तमौजाश्च,उत्तमौजस्{पुं}{1;एक},उत्तमौजस्{पुं}{1;एक},-,-,समुच्चितम् 3,-,उत्तमौजा,Uttamauja,-,-,GLGL
सौभद्रः,सौभद्रो,सौभद्र{पुं}{1;एक},सौभद्र{पुं}{1;एक},-,-,समुच्चितम् 3,-,सुभद्रापुत्र_अभिमन्यु,the_son_of_Subhadra,-,-,G
च,-,च{अव्य},च{अव्य},-,-,कर्तृसमानाधिकरणम् 35,-,एवं,and,-,-,GGG
द्रौपदेयाः,द्रौपदेयाश्च,द्रौपदेय{पुं}{1;बहु},द्रौपदेय{पुं}{1;बहु},-,-,समुच्चितम् 3,-,द्रौपदी_के_पाँचों_पुत्र,the_sons_of_Draupadi,-,-,GL
सर्वे,सर्व,सर्व{पुं}{1;बहु}/सर्व{नपुं}{1;द्वि}/सर्व{नपुं}{2;द्वि}/सर्वा{स्त्री}{1;द्वि}/सर्वा{स्त्री}{2;द्वि},सर्व{पुं}{1;बहु},-,-,कर्ता 35,-,सभी,all,-,-,GGL
एव,एव,एव{अव्य},एव{अव्य},-,-,सम्बन्धः 27,-,ही,certainly,-,रुत्व-यत्व-लोप-सन्धिः (ससजुषो रुः (8।2।66)-भोभगोअघो अपूर्वस्य योऽशि (8।3।17)-हलि सर्वेषाम् (8।3।22)),GLG
महत्-इष्वासाः,महेष्वासा,महत्-इष्वास{पुं}{1;बहु},महत्-इष्वास{पुं}{1;बहु},<महत्-इष्वासा>Bs6,महान् इष्वासः यस्य सः = महेष्वासः ते महेष्वासाः,समुच्चितम् 30,-,बड़े-बड़े_धनुषोंवाले,mighty_bowmen,-,-,GLGL
च,-,च{अव्य},च{अव्य},-,-,विशेषणम् 33,-,और,and,1.6.K-,1.6.Lसत्व-श्चुत्व-सन्धिः (विसर्जनीयस्य सः (8।3।34)-स्तोः श्चुना श्चुः (8।4।40)),1.6.MLGGGL
युधि,युधि,युध्{स्त्री}{7;एक},युध्{स्त्री}{7;एक},-,-,अधिकरणम् 33,-,युद्ध_में,in_military_prowess,-,सत्व-श्चुत्व-सन्धिः (विसर्जनीयस्य सः (8।3।34)-स्तोः श्चुना श्चुः (8।4।40)),GGL
भीम-अर्जुन-समाः,भीमार्जुनसमा,भीम-अर्जुन-सम{पुं}{1;बहु}/समा{स्त्री}{1;बहु}/समा{स्त्री}{2;बहु}/समा{स्त्री}{1;बहु}/समा{स्त्री}{2;बहु},भीम-अर्जुन-सम{पुं}{1;बहु},<<भीम-अर्जुन>Di-समाः>T3,"भीमः च अर्जुनः च = भीमार्जुनौ, भीमार्जुनाभ्यां समाः = भीमार्जुनसमाः",समुच्चितम् 30,-,भीम_और_अर्जुन_के_समान,Bhima_and_Arjuna_equal,समितिं युद्धं जयतीति समितिञ्जयः,-,GLGLG
शूराः,शूरा,शूर{पुं}{1;बहु}/शूरा{स्त्री}{1;बहु}/शूरा{स्त्री}{2;बहु},शूर{पुं}{1;बहु},-,-,समुच्चितम् 25,-,शूर-वीर,heroes,-,सत्व-श्चुत्व-सन्धिः (विसर्जनीयस्य सः (8।3।34)-स्तोः श्चुना श्चुः (8।4।40)),LGL
महान्-रथाः,महारथाः,महान्-रथ{पुं}{1;बहु},महान्-रथ{पुं}{1;बहु},<महत्-रथाः>Bs6,महान् रथः यस्य सः = महारथः ते महारथाः,समुच्चितम् 25,-,महारथी,great_warrior_chiefs,-,-,GGGG
(सन्ति),-,(सत्{नपुं}{1;बहु}/सत्{नपुं}{2;बहु}/अस्2{कर्तरि;लट्;प्र;बहु;परस्मैपदी;असँ;अदादिः}),(अस्){कर्तरि;लट्;प्र;बहु;परस्मैपदी;असँ;अदादिः},-,-,-,-,(हैं),are,-,सत्व-श्चुत्व-सन्धिः (विसर्जनीयस्य सः (8।3।34)-स्तोः श्चुना श्चुः (8।4।40)),LGGL
1.5.Aद्विज-उत्तम,1.5.Bद्विजोत्तम,1.5.Cद्विज-उत्तम{पुं}{8;एक}/उत्तम{नपुं}{8;एक},1.5.Dद्विज-उत्तम{पुं}{8;एक},1.5.E<द्विज-उत्तम>T7,1.5.Fद्विजेषु उत्तमः = द्विजोत्तमः सम्बोधने द्विजोत्तम,1.5.Gसम्बोध्यः 6,1.5.H-,1.5.Iहे_ब्राह्मणश्रेष्ठ,1.5.Jthe_best_of_the_brahmanas,-,-,L
अस्माकम्,अस्माकं,अस्मद्{6;बहु},अस्मद्{6;बहु},-,-,षष्ठीसम्बन्धः 4,-,हमारे,our,सोमदत्तस्य अपत्यं सौमदत्तिः,सत्व-सन्धिः (विसर्जनीयस्य सः (8।3।34)) / वृद्धि-सन्धिः (वृद्धिरेचि (6।1।88)),GLGGLGL
तु,तु,तु{अव्य},तु{अव्य},-,-,सम्बन्धः 2,-,भी,also,-,-,GG
ये,ये,यद्{पुं}{1;बहु}/यद्{स्त्री}{1;द्वि}/यद्{स्त्री}{2;द्वि}/यद्{नपुं}{1;द्वि}/यद्{नपुं}{2;द्वि},यद्{पुं}{1;बहु},-,-,कर्ता 6,-,जो,those,-,-,LLG
विशिष्टाः,विशिष्टा,विशिष्ट{पुं}{1;बहु}/विशिष्ट{पुं}{8;बहु}/विशिष्टा{स्त्री}{1;बहु}/विशिष्टा{स्त्री}{2;बहु}/विशिष्टा{स्त्री}{8;बहु}/विशिष्टा{स्त्री}{1;बहु}/विशिष्टा{स्त्री}{2;बहु}/विशिष्टा{स्त्री}{8;बहु},विशिष्ट{पुं}{1;बहु},-,-,कर्तृसमानाधिकरणम् 6,-,प्रधान,especially_powerful,-,रुत्व-यत्व-लोप-सन्धिः (ससजुषो रुः (8।2।66)-भोभगोअघो अपूर्वस्य योऽशि (8।3।17)-हलि सर्वेषाम् (8।3।22)),GG
(सन्ति),-,(सत्{नपुं}{1;बहु}/सत्{नपुं}{2;बहु}/सत्{नपुं}{8;बहु}/सन्ती{स्त्री}{8;एक}/अस्2{कर्तरि;लट्;प्र;बहु;परस्मैपदी;असँ;अदादिः}),(अस्){कर्तरि;लट्;प्र;बहु;परस्मैपदी;असँ;अदादिः},-,-,-,-,(हैं),are,-,-,GGGGLLLG
तान्,तान्निबोध,तद्{पुं}{2;बहु},तद्{पुं}{2;बहु},-,-,कर्म 8,-,उनको,them,-,-,GLLGLG
निबोध,-,नि_बुध्1{कर्तरि;लोट्;म;एक;परस्मैपदी;बुधँ;भ्वादिः}/नि_बुध्2{कर्तरि;लोट्;म;एक;परस्मैपदी;बुधिँर्;भ्वादिः},नि_बुध्{कर्तरि;लोट्;म;एक;परस्मैपदी;नि_बुधिँर्;भ्वादिः},-,-,-,-,समझ_लीजिये,know,-,-,L
ते,ते,तद्{पुं}{1;बहु}/तद्{स्त्री}{1;द्वि}/तद्{स्त्री}{2;द्वि}/तद्{नपुं}{1;द्वि}/तद्{नपुं}{2;द्वि}/युष्मद्{4;एक}/युष्मद्{6;एक},युष्मद्{6;एक},-,-,षष्ठीसम्बन्धः 10,-,आपकी,your,-,-,GG
सञ्ज्ञा-अर्थम्,सञ्ज्ञार्थं,सञ्ज्ञा-अर्थ{पुं}{2;एक}/अर्थ{नपुं}{1;एक}/अर्थ{नपुं}{2;एक},सञ्ज्ञा-अर्थ{पुं}{2;एक},<सञ्ज्ञा-अर्थम्>T4,सञ्ज्ञायै इदम् = सञ्ज्ञार्थम्,प्रयोजनम् 14,-,जानकारी_के_लिये,for_information,-,-,LGG
मम,मम,अस्मद्{6;एक}/मा1{कर्तरि;लिट्;म;बहु;परस्मैपदी;मा;अदादिः},अस्मद्{6;एक},-,-,षष्ठीसम्बन्धः 12,-,मेरी,my,-,-,GLGLG
सैन्यस्य,सैन्यस्य,सैन्य{पुं}{6;एक},सैन्य{पुं}{6;एक},-,-,षष्ठीसम्बन्धः 13,-,सेना_के,army,1.7.K-,1.7.L-,1.7.MGGLGLL
नायकाः,नायका,नायक{पुं}{1;बहु}/नायक{पुं}{8;बहु},नायक{पुं}{1;बहु},-,-,कर्ता 14,-,सेनापति,principal_warriors,-,जश्त्व-सन्धिः (झलां जशोऽन्ते (8।2।39)),LGGG
(सन्ति),-,(सत्{नपुं}{1;बहु}/सत्{नपुं}{2;बहु}/सत्{नपुं}{8;बहु}/सन्ती{स्त्री}{8;एक}/अस्2{कर्तरि;लट्;प्र;बहु;परस्मैपदी;असँ;अदादिः}),(अस्){कर्तरि;लट्;प्र;बहु;परस्मैपदी;असँ;अदादिः},-,-,-,-,(हैं),are,-,-,LG
(अहम्),-,(अस्मद्{1;एक}),(अस्मद्){1;एक},-,-,कर्ता 17,-,(मैं),I,-,-,LGGG
तान्,तान्ब्रवीमि,तद्{पुं}{2;बहु},तद्{पुं}{2;बहु},-,-,कर्म 17,-,उनको,them,-,यण्-सन्धिः (इको यणचि (6।1।77)),LGGGG
ब्रवीमि,-,ब्रू1{कर्तरि;लट्;उ;एक;आत्मनेपदी;ब्रूञ्;अदादिः},ब्रू{कर्तरि;लट्;उ;एक;परस्मैपदी;ब्रूञ्;अदादिः},-,-,-,-,बतलाता_हूँ,mention,-,-,GGLGLL
1.6.Aभवान्,1.6.Bभवान्भीष्मश्च,1.6.Cभव{पुं}{2;बहु}/भवत्{पुं}{1;एक},1.6.Dभवत्{पुं}{1;एक},1.6.E-,1.6.F-,1.6.Gसमुच्चितम् 2,1.6.H-,1.6.Iआप_(द्रोणाचार्य),1.6.Jyourself,-,-,LG
च,-,च{अव्य},च{अव्य},-,-,विशेषणम् 21,-,और,also,-,-,GGG
भीष्मः,-,भीष्म{पुं}{1;एक},भीष्म{पुं}{1;एक},-,-,समुच्चितम् 2,-,पितामह_भीष्म,Grandfather_Bhisma,1.8.K-,1.8.L-,1.8.ML
च,-,च{अव्य},च{अव्य},-,-,-,-,तथा,and,-,-,GGL
कर्णः,कर्णश्च,कर्ण{पुं}{1;एक},कर्ण{पुं}{1;एक},-,-,समुच्चितम् 2,-,कर्ण,Karna,-,-,LLGL
च,-,च{अव्य},च{अव्य},-,-,-,-,और,and,-,-,LGGGLGLG
समितिञ्जयः,समितिञ्जयः,समितिञ्जय{पुं}{1;एक},समितिञ्जय{पुं}{1;एक},-,-,विशेषणम् 8,-,संग्रामविजयी,ever_victorious,-,-,LGG
कृपः,कृपश्च,कृप{पुं}{1;एक},कृप{पुं}{1;एक},-,-,समुच्चितम् 2,-,कृपाचार्य,Krpa,-,यान्तवान्त-लोप-सन्धिः (एचोऽयवायावः (6।1।78)-लोपः शाकल्यस्य (8।3।19)),GL
च,-,च{अव्य},च{अव्य},-,-,-,-,तथा,and,-,-,GL
तथा_एव,-,तथैव{अव्य},तथैव{अव्य},-,-,-,-,वैसे_ही,and_even_so,-,-,L
अश्वत्थामा,अश्वत्थामा,अश्वत्थामन्{पुं}{1;एक},अश्वत्थामन्{पुं}{1;एक},-,-,समुच्चितम् 2,-,अश्वत्थामा,Asvatthama,-,सवर्णदीर्घ-सन्धिः (अकः सवर्णे दीर्घः (6।1।101)),GGGGLGGL
विकर्णः,विकर्णश्च,विकर्ण{पुं}{1;एक},विकर्ण{पुं}{1;एक},-,-,समुच्चितम् 2,-,विकर्ण,Vikarna,1.9.K-,1.9.L-,1.9.MLLGG
च,च,च{अव्य},च{अव्य},-,-,-,-,और,as_well_as,प्रतापः अस्यास्तीति,-,LGLG
सौमदत्तिः,सौमदत्तिस्तथैव,सौमदत्ति{पुं}{1;एक},सौमदत्ति{पुं}{1;एक},-,-,समुच्चितम् 2,-,सोमदत्तका_पुत्र_भूरिश्रवा,the_son_of_Somadatta,-,-,LGLG
अन्ये,अन्ये,अन्य{नपुं}{1;द्वि}/अन्य{नपुं}{2;द्वि}/अन्य{नपुं}{7;एक}/अन्य{पुं}{1;बहु}/अन्य{नपुं}{1;द्वि}/अन्य{नपुं}{2;द्वि}/अन्या{स्त्री}{1;द्वि}/अन्या{स्त्री}{2;द्वि}/अन्या{स्त्री}{1;द्वि}/अन्या{स्त्री}{2;द्वि}/अन्1{भावे;लट्;उ;एक;आत्मनेपदी;अनँ;अदादिः},अन्य{पुं}{1;बहु},-,-,विशेषणम् 18,-,और,many_others,-,-,GL
बहवः,बहवः,बहु{पुं}{1;बहु}/बहु{स्त्री}{1;बहु}/बहु{स्त्री}{2;बहु},बहु{पुं}{1;बहु},-,-,विशेषणम् 18,-,बहुत_से,in_great_numbers,-,-,GLLGGG
शूराः,शूरा,शूर{पुं}{1;बहु}/शूरा{स्त्री}{1;बहु}/शूरा{स्त्री}{2;बहु},शूर{पुं}{1;बहु},-,-,समुच्चितम् 20,-,शूरवीर,heroes,-,-,GLGG
