chaptno,slokano,spart1,spart2
01,059,अथाथर्वनिधेस्तस्य विजितारिपुरः पुरः।,अर्थ्यामर्थपतिर्वाचमाददे वदतां वरः॥
01,060,उपपन्नं ननु शिवं सप्तस्वङ्गेषु यस्य मे।,दैवीनां मानुषीणां च प्रतिहर्ता त्वमापदाम्॥
01,061,तव मन्त्रकृतो मन्त्रैर्दूरात्प्रशमितारिभिः।,प्रत्यादिश्यन्त इव मे दृष्टलक्ष्यभिदः शराः॥
01,062,हविरावर्जितं होतस्त्वया विधिवदग्निषु।,वृष्टिर्भवति सस्यानामवग्रहविशोषिणाम्॥
01,063,पुरुषायुष्यजीविन्यो निरातङ्का निरीतयः।,यन्मदीयाः प्रजास्तस्य हेतुस्त्वद्ब्रह्मवर्चसम्॥
01,064,त्वयैवं चिन्त्यमानस्य गुरुणा ब्रह्मयोनिना।,सानुबन्धाः कथं न स्युः संपदो मे निरापदः॥
01,065,किन्तु वध्वां तवैतस्यामदृष्टसदृशप्रजम्।,न मामवति सद्वीपा रत्नसूरपि मेदिनी॥
01,066,नूनं मत्तः परं वंश्याः पिण्डविच्छेददर्शिनः।,न प्रकामभुजः श्राद्धे स्वधासंग्रहतत्पराः॥
01,067,मत्परं दुर्लभं मत्वा नूनमावर्जितं मया।,पयः पूर्वैः स्वनिःश्वासैः कवोष्णमुपभुज्यते॥
01,068,सोऽहमिज्याविशुद्धात्मा प्रजालोपनिमीलितः।,प्रकाशश्चाप्रकाशश्च लोकालोक इवाचलः॥
01,069,लोकान्तरसुखं पुण्यं तपोदानसमुद्भवम्।,संततिः शुद्धवंश्या हि परत्रेह च शर्मणे॥
01,070,तया हीनं विधातर्मां कथं पश्यन्न दूयसे।,सिक्तं स्वयमिव स्नेहाद्वन्ध्यमाश्रमवृक्षकम्॥
01,071,असह्यपीडं भगवन्नृणमन्त्यमवेहि मे।,अरुन्तुदमिवालानमनिर्वाणस्य दन्तिनः॥
01,072,तस्मान्मुच्ये यथा तात संविधातुं तथार्हसि।,इक्ष्वाकूणां दुरापेऽर्थे त्वदधीना हि सिद्धयः॥
01,073,इति विज्ञापितो राज्ञा ध्यानस्तिमितलोचनः।,क्षणमात्रमृषिस्तस्थौ सुप्तमीन इव ह्रदः॥
01,074,सोऽपश्यत्प्रणिधानेन सन्ततेः स्तम्भकारणम्।,भावितात्मा भुवो भर्तुरथैनं प्रत्यबोधयत्॥
01,075,पुरा शक्रमुपस्थाय तवोर्वीं प्रति यास्यतः।,आसीत्कल्पतरुच्छायामाश्रिता सुरभिः पथि॥
01,076,धर्मलोपभयाद्राज्ञीमृतुस्नातामिमां स्मरन्।,प्रदक्षिणक्रियार्हायां तस्यां त्वं साधु नाचरः॥
01,077,अवजानासि मां यस्मादतस्ते न भविष्यति।,मत्प्रसूतिमनाराध्य प्रजेति त्वां शशाप सा॥
01,078,स शापो न त्वया राजन्न च सारथिना श्रुतः।,नदत्याकाशगङ्गायाः स्रोतस्युद्दामदिग्गजे॥
01,079,ईप्सितं तदवज्ञानाद्विद्धि सार्गलमात्मनः।,प्रतिबध्नाति हि श्रेयः पूज्यपूजाव्यतिक्रमः॥
01,080,हविषे दीर्घसत्रस्य सा चेदानीं प्रचेतसः।,भुजङ्गपिहितद्वारं पातालमधितिष्ठति॥
01,081,सुतां तदीयां सुरभेः कृत्वा प्रतिनिधिं शुचिः।,आराधय सपत्नीकः प्रीता कामदुघा हि सा॥
01,082,इति वादिन एवास्य होतुराहुतिसाधनम्।,अनिन्द्या नन्दिनी नाम धेनुराववृते वनात्॥
01,083,ललाटोदयमाभुग्नं पल्लवस्निग्धपाटला।,बिभ्रती श्वेतरोमाङ्कं सन्ध्येव शशिनं नवम्॥
01,084,भुवं कोष्णेन कुण्डोध्नी मेध्येनावभृथादपि।,प्रस्रवेनाभिवर्षन्ती वत्सालोकप्रवर्तिना॥
01,085,रजःकणैः खुरोद्धूतैः स्पृशद्भिर्गात्रमन्तिकात्।,तीर्थाभिषेकजां शुद्धिमादधाना महीक्षितः॥
01,086,तां पुण्यदर्शनां दृष्ट्वा निमित्तज्ञस्तपोनिधिः।,याज्यमाशंसितावन्ध्यप्रार्थनं पुनरब्रवीत्॥
01,087,अदूरवर्तिनीं सिद्धिं राजन् विगणयात्मनः।,उपस्थितेयं कल्याणी नाम्नि कीर्तित एव यत्॥
01,088,वन्यवृत्तिरिमां शश्वदात्मानुगमनेन गाम्।,विद्यामभ्यसनेनेव प्रसादयितुमर्हसि॥
01,089,प्रस्थितायां प्रतिष्ठेथाः स्थितायां स्थितिमाचरेः।,निषण्णायां निषीदास्यां पीताम्भसि पिबेरपः॥
01,090,वधूर्भक्तिमती चैनामर्चितामा तपोवनात्।,प्रयता प्रातरन्वेतु सायं प्रत्युद्व्रजेदपि॥
01,091,इत्याप्रसादादस्यास्त्वं परिचर्यापरो भव।,अविघ्नमस्तु ते स्थेयाः पितेव धुरि पुत्रिणाम्॥
01,092,तथेति प्रतिजग्राह प्रीतिमान्सपरिग्रहः।,आदेशं देशकालज्ञः शिष्यः शासितुरानतः॥
01,093,अथ प्रदोषे दोषज्ञः संवेशाय विशांपतिम्।,सूनुः सूनृतवाक्स्रष्टुर्विससर्जोर्जितश्रियम्॥
01,094,सत्यामपि तपःसिद्धौ नियमापेक्षया मुनिः।,कल्पवित्कल्पयामास वन्यामेवास्य संविधाम्॥
01,095,निर्दिष्टां कुलपतिना स पर्णशाला-मध्यास्य प्रयतपरिग्रहद्वितीयः।,तच्छिष्याध्ययननिवेदितावसानां संविष्टः कुशशयने निशां निनाय॥
02,001,अथ प्रजानामधिपः प्रभाते जायाप्रतिग्राहितगन्धमाल्याम्।,वनाय पीतप्रतिबद्धवत्सां यशोधनो धेनुमृषेर्मुमोच॥
02,002,तस्याः खुरन्यासपवित्रपांसुमपांसुलानां धुरि कीर्तनीया।,मार्गं मनुष्येश्वरधर्मपत्नी श्रुतेरिवार्थं स्मृतिरन्वगच्छत्॥
02,003,निवर्त्य राजा दयितां दयालुस्तां सौरभेयीं सुरभिर्यशोभिः।,पयोधरीभूतचतुःसमुद्रां जुगोप गोरूपधरामिवोर्वीम्॥
02,004,व्रताय तेनानुचरेण धेनोर्न्यषेधि शेषोऽप्यनुयायिवर्गः।,न चान्यतस्तस्य शरीररक्षा स्ववीर्यगुप्ता हि मनोःप्रसूतिः॥
02,005,आस्वादवद्भिः कवलैस्तृणानां कण्डूयनैर्दंशनिवारणैश्च।,अव्याहतैः स्वैरगतैः स तस्याः सम्राट् समाराधनतत्परोऽभूत्॥
02,006,स्थितः स्थितामुच्चलितः प्रयातां निषेदुषीमासनबन्धधीरः।,जलाभिलाषी जलमाददानां छायेव तां भूपतिरन्वगच्छत्॥
02,007,स न्यस्तचिह्नामपि राजलक्ष्मीं तेजोविशेषानुमितां दधानः।,आसीदनाविष्कृतदानराजिरन्तर्मदावस्थ इव द्विपेन्द्रः॥
02,008,लताप्रतानोद्ग्रथितैः स केशैरधिज्यधन्वा विचचार दावम्।,रक्षापदेशान्मुनिहोमधेनोर्वन्यान्विनेष्यन्निव दुष्टसत्त्वान्॥
02,009,विसृष्टपार्श्वानुचरस्य तस्य पार्श्वद्रुमाः पाशभृता समस्य।,उदीरयामासुरिवोन्मदानामालोकशब्दं वयसां विरावैः॥
02,010,मरुत्प्रयुक्ताश्च मरुत्सखाभं तमर्च्यमारादभिवर्तमानम्।,अवाकिरन्बाललताः प्रसूनैराचारलाजैरिव पौरकन्याः॥
02,011,धनुर्भृतोऽप्यस्य दयार्द्रभावमाख्यातमन्तःकरणैर्विशङ्कैः।,विलोकयन्त्यो वपुरापुरक्ष्णां प्रकामविस्तारफलं हरिण्यः॥
02,012,स कीचकैर्मारुतपूर्णरन्ध्रैः कूजद्भिरापादितवंशकृत्यम्।,शुश्राव कुञ्जेषु यशः स्वमुच्चैरुद्गीयमानं वनदेवताभिः॥
02,013,पृक्तस्तुषारैर्गिरिनिर्झराणामनोकहाकम्पितपुष्पगन्धी।,तमातपक्लान्तमनातपत्रमाचारपूतं पवनो सिषेवे॥
02,014,शशाम वृष्ट्यापि विना दवाग्निरासीद्विशेषा फलपुष्पवृद्धिः।,ऊनं न सत्त्वेष्वधिको बबाधे तस्मिन्वनं गोप्तरि गाहमाने॥
02,015,संचारपूतानि दिगन्तराणि कृत्वा दिनान्ते निलयाय गन्तुम्।,प्रचक्रमे पल्लवरागताम्रा प्रभा पतङ्गस्य मुनेश्च धेनुः॥
02,016,तां देवतापित्रतिथिक्रियार्थामन्वग्ययौ मध्यमलोकपालः।,बभौ च सा तेन सतां मतेन श्रद्धेव साक्षाद्विधिनोपपन्ना॥
02,017,स पल्वलोत्तीर्णवराहयूथान्यावासवृक्षोन्मुखबर्हिणानि।,ययौ मृगाध्यासितशाद्वलानि श्यामायमानानि वनानि पश्यन्॥
02,018,आपीनभारोद्वहनप्रयत्नाद्गृष्टिर्गुरुत्वाद्वपुषो नरेन्द्रः।,उभावलंचक्रतुरञ्चिताभ्यां तपोवनावृत्तिपथं गताभ्याम्॥
02,019,वसिष्ठधेनोरनुयायिनं तमावर्तमानं वनिता वनान्तात्।,पपौ निमेषालसपक्ष्मपङ्क्तिरुपोषिताभ्यामिव लोचनाभ्याम्॥
02,020,पुरस्कृता वर्त्मनि पार्थिवेन प्रत्युद्गता पार्थिवधर्मपत्न्या।,तदन्तरे सा विरराज धेनुर्दिनक्षपामध्यगतेव सन्ध्या॥
02,021,प्रदक्षिणीकृत्य पयस्विनीं तां सुदक्षिणा साक्षतपात्रहस्ता।,प्रणम्य चानर्च विशालमस्याः शृङ्गान्तरं द्वारमिवार्थसिद्धेः॥
02,022,वत्सोत्सुकापि स्तिमिता सपर्यां प्रत्यग्रहीत्सेति ननन्दतुस्तौ।,भक्त्योपपन्नेषु हि तद्विधानां प्रसादचिह्नानि पुरःफलानि॥
02,023,गुरोः सदारस्य निपीड्य पादौ समाप्य सान्ध्यं च विधिं दिलीपः।,दोहावसाने पुनरेव दोग्ध्रीं भेजे भुजोच्छिन्नरिपुर्निषण्णाम्॥
02,024,तामन्तिकन्यस्तबलिप्रदीपामन्वास्य गोप्ता गृहिणीसहायः।,क्रमेण सुप्तामनु संविवेश सुप्तोत्थितां प्रातरनूदतिष्ठत्॥
02,025,इत्थं व्रतं धारयतः प्रजार्थं समं महिष्या महनीयकीर्तेः।,सप्त व्यतीयुस्त्रिगुणानि तस्य दिनानि दीनोद्धरणोचितस्य॥
02,026,अन्येद्युरात्मानुचरस्य भावं जिज्ञासमाना मुनिहोमधेनुः।,गङ्गाप्रपातान्तविरूढशष्पं गौरीगुरोर्गह्वरमाविवेश॥
02,027,सा दुष्प्रधर्षा मनसाऽपि हिंस्रैरित्यद्रिशोभाप्रहितेक्षणेन।,अलक्षिताभ्युत्पतनो नृपेण प्रसह्य सिंहः किल तां चकर्ष॥
02,028,तदीयमाक्रन्दितमार्तसाधोर्गुहानिबद्धप्रतिशब्ददीर्घम्।,रश्मिष्विवादाय नगेन्द्रसक्तां निवर्तयामास नृपस्य दृष्टिम्॥
02,029,स पाटलायां गवि तस्थिवांसं धनुर्धरः केसरिणं ददर्श।,अधित्यकायामिव धातुमय्यां लोध्रद्रुमं सानुमतः प्रफुल्लम्॥
02,030,ततो मृगेन्द्रस्य मृगेन्द्रगामी वधाय वध्यस्य शरं शरण्यः।,जाताभिषङ्गो नृपतिर्निषङ्गादुद्धर्तुमैच्छत्प्रसभोद्धृतारिः॥
02,031,वामेतरस्तस्य करः प्रहर्तुर्नखप्रभाभूषितकङ्कपत्रे।,सक्ताङ्गुलिः सायकपुङ्ख एव चित्रार्पितारम्भ इवावतस्थे॥
02,032,बाहुप्रतिष्टम्भविवृद्धमन्युरभ्यर्णमागस्कृतमस्पृशद्भिः।,राजा स्वतेजोभिरदह्यतान्तर्भोगीव मन्त्रौषधिरुद्धवीर्यः॥
02,033,तमार्यगृह्यं निगृहीतधेनुर्मनुष्यवाचा मनुवंशकेतुम्।,विस्माययन्विस्मितमात्मवृत्तौ सिंहोरुसत्त्वं निजगाद सिंहः॥
02,034,अलं महीपाल तव श्रमेण प्रयुक्तमप्यस्त्रमितो वृथा स्यात्।,न पादपोन्मूलनशक्ति रंहः शिलोच्चये मूर्च्छति मारुतस्य॥
02,035,कैलासगौरं वृषमारुरुक्षोः पादार्पणानुग्रहपूतपृष्ठम्।,अवेहि मां किंकरमष्टमूर्तेः कुम्भोदरं नाम निकुम्भमित्रम्॥
02,036,अमुं पुरः पश्यसि देवदारुं पुत्रीकृतोऽसौ वृषभध्वजेन।,यो हेमकुम्भस्तननिःसृतानां स्कन्दस्य मातुः पयसां रसज्ञः॥
02,037,कण्डूयमानेन कटं कदाचिद्वन्यद्विपेनोन्मथिता त्वगस्य।,अथैनमद्रेस्तनया शुशोच सेनान्यमालीढमिवासुरास्त्रैः॥
02,038,तदाप्रभृत्येव वनद्विपानां त्रासार्थमस्मिन्नहमद्रिकुक्षौ।,व्यापारितः शूलभृता विधाय सिंहत्वमङ्कागतसत्त्ववृत्ति॥
02,039,तस्यालमेषा क्षुधितस्य तृप्त्यै प्रदिष्टकाला परमेश्वरेण।,उपस्थिता शोणितपारणा मे सुरद्विषश्चान्द्रमसी सुधेव॥
02,040,स त्वं निवर्तस्व विहाय लज्जां गुरोर्भवान्दर्शितशिष्यभक्तिः।,शस्त्रेण रक्ष्यं यदशक्यरक्षं न तद्यशः शस्त्रभृतां क्षिणोति॥
02,041,इति प्रगल्भं पुरुषाधिराजो मृगाधिराजस्य वचो निशम्य।,प्रत्याहतास्त्रो गिरिशप्रभावादात्मन्यवज्ञां शिथिलीचकार॥
02,042,प्रत्यब्रवीच्चैनमिषुप्रयोगे तत्पूर्वभङ्गे वितथप्रयत्नः।,जडीकृतस्त्र्यम्बकवीक्षणेन वज्रं मुमुक्षन्निव वज्रपाणिः॥
02,043,संरुद्धचेष्टस्य मृगेन्द्र कामं हास्यं वचस्तद्यदहं विवक्षुः।,अन्तर्गतं प्राणभृतां हि वेद सर्वं भवान्भावमतोऽभिधास्ये॥
02,044,मान्यः स मे स्थावरजङ्गमानां सर्गस्थितिप्रत्यवहारहेतुः।,गुरोरपीदं धनमाहिताग्नेर्नश्यत्पुरस्तादनुपेक्षणीयम्॥
02,045,स त्वं मदीयेन शरीरवृत्तिं देहेन निर्वर्तयितुं प्रसीद।,दिनावसानोत्सुकबालवत्सा विसृज्यतां धेनुरियं महर्षेः॥
02,046,अथान्धकारं गिरिगह्वराणां दंष्ट्रामयूखैः शकलानि कुर्वन्।,भूयः स भूतेश्वरपार्श्ववर्ती किंचिद्विहस्यार्थपतिं बभाषे॥
02,047,एकातपत्रं जगतः प्रभुत्वं नवं वयः कान्तमिदं वपुश्च।,अल्पस्य हेतोर्बहु हातुमिच्छन्विचारमूढः प्रतिभासि मे त्वम्॥
02,048,भूतानुकम्पा तव चेदियं गौरेका भवेत्स्वस्तिमती त्वदन्ते।,जीवन्पुनः शश्वदुपप्लवेभ्यः प्रजाः प्रजानाथ पितेव पासि॥
02,049,अथैकधेनोरपराधचण्डाद्गुरोः कृशानुप्रतिमाद्बिभेषि।,शक्योऽस्य मन्युर्भवता विनेतुं गाः कोटिशः स्पर्शयता घटोध्नीः॥
02,050,तद्रक्ष कल्याणपरम्पराणां भोक्तारमूर्जस्वलमात्मदेहम्।,महीतलस्पर्शनमात्रभिन्नमृद्धं हि राज्यं पदमैन्द्रमाहुः॥
02,051,एतावदुक्त्वा विरते मृगेन्द्रे प्रतिस्वनेनास्य गुहागतेन।,शिलोच्चयोऽपि क्षितिपालमुच्चैः प्रीत्या तमेवार्थमभाषतेव॥
02,052,निशम्य देवानुचरस्य वाचं मनुष्यदेवः पुनरप्युवाच।,धेन्वा तदध्यासितकातराक्ष्या निरीक्ष्यमाणः सुतरां दयालुः॥
02,053,क्षतात्किल त्रायत इत्युदग्रः क्षत्रस्य शब्दो भुवनेषु रूढः।,राज्येन किं तद्विपरीतवृत्तेः प्राणैरुपक्रोशमलीमसैर्वा॥
02,054,कथं नु शक्योऽनुनयो महर्षेर्विश्राणनाच्चान्यपयस्विनीनाम्।,इमामनूनां सुरभेरवेहि रुद्रौजसा तु प्रहृतं त्वयाऽस्याम्॥
02,055,सेयं स्वदेहार्पणनिष्क्रयेण न्याय्या मया मोचयितुं भवत्तः।,न पारणा स्याद्विहता तवैवं भवेदलुप्तश्च मुनेः क्रियार्थः॥
02,056,भवानपीदं परवानवैति महान्हि यत्नस्तव देवदारौ।,स्थातुं नियोक्तुर्न हि शक्यमग्रे विनाश्य रक्ष्यं स्वयमक्षतेन॥
02,057,किमप्यहिंस्यस्तव चेन्मतोऽहं यशःशरीरे भव मे दयालुः।,एकान्तविध्वंसिषु मद्विधानां पिण्डेष्वनास्था खलु भौतिकेषु॥
02,058,संबन्धमाभाषणपूर्वमाहुर्वृत्तः स नौ संगतयोर्वनान्ते।,तद्भूतनाथानुग नार्हसि त्वं संबन्धिनो मे प्रणयं विहन्तुम्॥
02,059,तथेति गामुक्तवते दिलीपः सद्यः प्रतिष्टम्भविमुक्तबाहुः।,स न्यस्तशस्त्रो हरये स्वदेहमुपानयत्पिण्डमिवामिषस्य॥
02,060,तस्मिन्क्षणे पालयितुः प्रजानामुत्पश्यतः सिंहनिपातमुग्रम्।,अवाङ्मुखस्योपरि पुष्पवृष्टिः पपात विद्याधरहस्तमुक्ता॥
02,061,उत्तिष्ठ वत्सेत्यमृतायमानं वचो निशम्योत्थितमुत्थितः सन्।,ददर्श राजा जननीमिव स्वां गामग्रतः प्रस्रविणीं न सिंहम्॥
02,062,तं विस्मितं धेनुरुवाच साधो मायां मयोद्भाव्य परीक्षितोऽसि।,ऋषिप्रभावान्मयि नान्तकोऽपि प्रभुः प्रहर्तुं किमुतान्यहिंस्राः॥
02,063,भक्त्या गुरौ मय्यनुकम्पया च प्रीताऽस्मि ते पुत्र वरं वृणीष्व।,न केवलानां पयसां प्रसूतिमवेहि मां कामदुघां प्रसन्नाम्॥
02,064,ततः समानीय स मानितार्थी हस्तौ स्वहस्तार्जितवीरशब्दः।,वंशस्य कर्तारमनन्तकीर्तिं सुदक्षिणायां तनयं ययाचे॥
02,065,सन्तानकामाय तथेति कामं राज्ञे प्रतिश्रुत्य पयस्विनी सा।,दुग्ध्वा पयः पत्रपुटे मदीयं पुत्रोपभुङ्क्ष्वेति तमादिदेश॥
02,066,वत्सस्य होमार्थविधेश्च शेषमृषेरनुज्ञामधिगम्य मातः।,औधस्यमिच्छामि तवोपभोक्तुं षष्ठांशमुर्व्या इव रक्षितायाः॥
02,067,इत्थं क्षितीशेन वसिष्ठधेनुर्विज्ञापिता प्रीततरा बभूव।,तदन्विता हैमवताच्च कुक्षेः प्रत्याययावाश्रममश्रमेण॥
02,068,तस्याः प्रसन्नेन्दुमुखः प्रसादं गुरुर्नृपाणां गुरवे निवेद्य।,प्रहर्षचिह्नानुमितं प्रियायै शशंस वाचा पुनरुक्तमेव॥
