Index,संस्कृतम्,Morphological Analysis,शब्दविश्लेषणम्,हिन्दी-विभक्ति:,हिन्दी अर्ध,English Meaning
2.1.,मे,-,अस्मद्{6}{ए.},अस्मद्+{का},मेरा,mine
2.1.,6.2.Aमहर्षे,6.2.CB-G,6.2.Dमहर्षि{8}{पुं-1-ए.},6.2.Eमहर्षि+{में/पर},6.2.Fमुनिवर,6.2.GO_sage!
2.1.,त्वम्,B-A,युष्मद्{1}{ए.},युष्मद्+{0/ने},तुम~(आप),you
2.1.,समर्थः,B-A,समर्थ{1}{पुं-ए.},समर्थ+{0/ने},समर्थ,"capable,skillful"
2.1.,असि,B-v,अस्{कर्तरि_लट्_मपु_ए.},अस्{कर्तरि_लट्_मपु_ए.},हो,(you)are
2.1.,ज्ञातुम्,-,ज्ञातुम्{तुमुन्नन्तम्},ज्ञातुम्{तुमुन्नन्तम्},जानने~के~लिए,to_know
2.1.,एवं-विधम्,B-B,एवंविध{2}{पुं-ए.},एवंविध+{को2},उक्त~गुणों~से~युक्त,having_such_good_qualities
2.1.,नरम्,B-B,नर{2}{पुं-ए.},नर+{को2},मानव~को,to_man
2.1.,5,-,5,5,5,5
2.1.,7.1.Aश्रुत्वा,7.1.C-,7.1.Dश्रु{क्त्वान्तम्},7.1.Eश्रु{क्त्वान्तम्},7.1.Fसुनकर,7.1.Gafter hearing
2.1.,च,-,च,च,भी,too
2.1.,एतत्,B-B,एतद्{2}{नपुं-ए.},एतद्+{को2},इसे,which was told earlier
2.1.,त्रिलोकज्ञः,B-A,त्रिलोकज्ञ{1}{पुं-ए.},त्रिलोकज्ञ+{0/ने},तीना~लोकों~के~ज्ञाता,knower_of_three_worlds
2.1.,वाल्मीकेः,B-F,वाल्मीकि{6}{पुं-ए.},वाल्मीकि+{का},रामायण~के~लेखक~वाल्मीकि~से,"to_Valmiki,the auther of Ramayana"
2.1.,नारदः,B-A,नारद{1}{पुं-ए.},नारद+{0/ने},देवर्षि~नारद,divine_sage_Narada
2.1.,वचः,B-B,वचस्{2}{नपुं-ए.},वचस्+{को2},पहले~कही~गयी~वाणी~को,speech
2.1.,7.2.Aश्रूयताम्,7.2.C-,7.2.Dश्रु{कर्मणि_लोट्_प्रपु_ए./श्रु-भावे},7.2.Eश्रु{कर्मणि_लोट्_प्रपु_ए./श्रु-भावे},7.2.Fसुनिए,7.2.Gplease_hear
2.1.,इति,-,इति,इति,ऐसा,इति
2.1.,च,-,च,च,भी,too
2.1.,आ-मन्त्र्य,-,आ-मन्त्र्य{ल्यबन्तम्},आ-मन्त्र्य{ल्यबन्तम्},आह्वान~करके,by drawing attention
2.1.,प्र-हृष्टः,B-A,प्र-हृष्ट{1}{पुं-ए.},प्र-हृष्ट+{0/ने},प्रसन्न~(होते~हुए),being delighted
2.1.,वाक्यम्,B-B,वाक्य{2}{नपुं-ए.},वाक्य+{को2},वचन,statement
2.1.,अब्रवीत्,B-v,ब्रू{कर्तरि_लुङ्_प्रपु_ए.},ब्रू{कर्तरि_लुङ्_प्रपु_ए.},कहा,spoke_out
2.1.,6,-,6,6,6,6
2.1.,8.1.Aबहवः,8.1.CB-A,8.1.Dबहु{1}{पुं-ब.},8.1.Eबहु+{0/ने},8.1.Fबहवः,8.1.Gmanifold
2.1.,दुर्लभाः,B-A,दुर्लभ{1}{पुं-ब.},दुर्लभ+{0/ने},दु:ख~से~प्राप्त~करने~योग्य,rare
2.1.,च,-,च,च,भी,too
2.1.,एव,-,एव,एव,एव,एव
2.1.,ये,B-A,यद्{1}{पुं-ब.},यद्+{0/ने},ये,those
2.1.,त्वया,B-C,युष्मद्{3}{पुं-ए.},युष्मद्+{से3},आपके~द्वारा,by_you
2.1.,कीर्तिताः,B-A,कीर्तित{1}{पुं-ब.},कीर्तित+{0/ने},कीर्तिताः,that_have_been_described
2.1.,गुणाः,B-A,गुण{1}{पुं-ब.},गुण+{0/ने},आदर्श~गुण,virtues
2.1.,8.2.Aमुने,8.2.CB-H,8.2.Dमुनि{8}{पुं-1-ए.},8.2.Eमुनि{8}{पुं-1-ए.},8.2.Fहे~महर्षि~वाल्मीकि,8.2.GO_sage_Valmiki
2.1. ,वक्ष्यामि,B-v,वच्{कर्तरि_लृट्_उपु_ए.},वच्{कर्तरि_लृट्_उपु_ए.},कहूँगा,shall_tell
2.1.¡,अहम्,B-A,अस्मद्{1}{सर्व-ए.},अस्मद्+{0/ने},मैं,I
2.1.¢,बुद्ध्वा,-,बुद्ध्वा{क्त्वान्तम्},बुद्ध्वा{क्त्वान्तम्},समझकर,having_considered
2.1.£,तैः,B-C,तत्{3}{पुं-ब.},तत्+{से3},उन~(उक्त~गुणों)~से,with_the_said_virtues
2.1.¤,युक्तः,B-A,युक्त{1}{पुं-ए.},युक्त+{0/ने},सम्पन्न,associated
2.1.¥,श्रूयताम्,-,श्रु{कर्मणि_लोट्_प्रपु_ए./श्रु-भावे},श्रु{कर्मणि_लोट्_प्रपु_ए./श्रु-भावे},सुनिए,please_hear
2.1.¦,नरः,B-A,नर{1}{पुं-ए.},नर+{0/ने},मानव,man
2.1.§,7,-,7,7,7,7
2.1.¨,9.1.Aइक्ष्वाकुवंश-प्रभवः,9.1.CB-A,9.1.Dइक्ष्वाकुवंश-प्रभव{1}{पुं-ए.},9.1.Eइक्ष्वाकुवंश-प्रभव+{0/ने},9.1.Fइक्ष्वाकुवंश~में~उत्पन्न,9.1.Gborn_in_Ikshvaku_dynasty
2.1.©,रामः-नाम,B-A,राम{1}{पुं-ए.}-नाम,राम+{0/ने},राम~नाम~से~प्रसिद्ध,by_the_name_'Rama'
2.1.ª,जनैः,B-C,जन{3}{पुं-ब.},जन+{से3},साधारण~जनों~के~द्वारा,by_common_men
2.1.«,श्रुतः,B-A,श्रुत{1}{पुं-ए.},श्रुत+{0/ने},विज्ञात,known
2.1.¬,9.2.Aनियतात्मा,9.2.CB-A,9.2.Dनियतात्मन्{1}{पुं-ए.},9.2.Eनियतात्मन्+{0/ने},9.2.Fस्वाधीन~अन्त:करण~वाला,9.2.Gself_controlled
2.1.­,महा-वीर्यः,B-A,महा-वीर्य{1}{पुं-ए.},महा-वीर्य+{0/ने},अत्यधिक~सामर्थ्यशाली,very_powerful
2.1.®,द्युतिमान्,B-A,द्युतिमत्{1}{पुं-ए.},द्युतिमत्+{0/ने},कान्तियुक्त,radiant
2.1.¯,धृतिमान्,B-A,धृतिमत्{1}{पुं-ए.},धृतिमत्+{0/ने},धैर्यशाली,resolute
2.1.°,वशी,B-A,वशिन्{1}{पुं-ए.},वशिन्+{0/ने},जितेन्द्रिय,one_who_has_conquired_over_sense_organs
2.1.±,8,-,8,8,8,8
2.1.²,10.1.Aबुद्धिमान्,10.1.CB-A,10.1.Dबुद्धिमत्{1}{पुं-ए.},10.1.Eबुद्धिमत्+{0/ने},10.1.Fप्रशस्त~बुद्धि~युक्त,10.1.Gintelligent
2.1.³,नीतिमान्,B-A,नीतिमत्{1}{पुं-ए.},नीतिमत्+{0/ने},नीति~के~ज्ञाता,sagacious
2.1.´,वाग्ग्मी,B-A,वाग्ग्मिन्{1}{पुं-ए.},वाग्ग्मिन्+{0/ने},अच्छा~वक्ता,eloquent
2.1.µ,श्रीमान्,B-A,श्रीमत्{1}{पुं-ए.},श्रीमत्+{0/ने},शोभा~से~युक्त,glorious
2.1.¶,शत्रु-निबर्हणः,B-A,शत्रु-निबर्हण{1}{पुं-ए.},शत्रु-निबर्हण+{0/ने},शत्रु~का~नाश~करने~वाला,exterminator of foes
2.1.·,10.2.Aविपुलांसः,10.2.CB-A,10.2.Dविपुलांस{1}{पुं-ए.},10.2.Eविपुलांस+{0/ने},10.2.Fउन्नत~स्कन्धा~वाला,10.2.Gdistinguished_with_broad_shoulder
2.1.¸,महा-बाहुः,B-A,महा-बाहु{1}{पुं-ए.},महा-बाहु+{0/ने},विशाल~बाँहा~वाला,having_powerful_arms
2.1.¹,कम्बु-ग्रीवः,B-A,कम्बु-ग्रीव{1}{पुं-ए.},कम्बु-ग्रीव+{0/ने},शंख~सदृश~ग्रीवा~वाला,having_a_neck_shaped_as_a_conch
2.1.º,महा-हनुः,B-A,महा-हनु{1}{पुं-ए.},महा-हनु+{0/ने},पुष्ट~ठुड्डी~वाला,having_stout_chin
2.1.»,9,-,9,9,9,9
2.1.¼,11.1.Aमहोरस्कः,11.1.CB-A,11.1.Dमहोरस्क{1}{पुं-ए.},11.1.Eमहोरस्क+{0/ने},11.1.Fविशाल~छाती~वाला,11.1.Gमहोरस्कः
2.1.½,महेष्वासः,B-A,महेष्वास{1}{पुं-ए.},महेष्वास+{0/ने},विशाल~धनुषा~वाला,holding_mighty_bow
2.1.¾,गूढ-जत्रुः,B-A,गूढ-जत्रु{1}{पुं-ए.},गूढ-जत्रु+{0/ने},अप्रकाशित~हँसुली~(स्कन्ध~की~हड्डी)~वाला,whose_collar_bone_covered_with_flesh
2.1.¿,अरिन्दमः,B-A,अरिन्दम{1}{पुं-ए.},अरिन्दम+{0/ने},शत्रुओं~का~दमन~करने~वाला,capable_of_subduing_his_foes
2.1.À,11.2.Aआ-जानु-बाहुः,11.2.CB-A,11.2.Dआ-जानु-बाहु{1}{पुं-ए.},11.2.Eआ-जानु-बाहु+{0/ने},11.2.Fघुटने~तक~लम्बी~भुजाओं~वाला,11.2.Gwhose_arms_extended_right_upto_his_knees
2.1.Á,सु-शिराः,B-A,सुशिरस्{1}{पुं-ए.},सुशिरस्+{0/ने},सुन्दर~शिर~वाला,having_well_formed_head
2.1.Â,सु-ललाटः,B-A,सु-ललाट{1}{पुं-ए.},सु-ललाट+{0/ने},सुन्दर~ललाट~वाला,having_shapely_forehead
2.1.Ã,सु-विक्रमः,B-A,सु-विक्रम{1}{पुं-ए.},सु-विक्रम+{0/ने},सुन्दर~गति~से~चलने~वाला,possessed_of_charming_gait
2.1.Ä,10,-,10,10,10,10
2.1.Å,12.1.Aसमः,12.1.CB-A,12.1.Dसम{1}{पुं-ए.},12.1.Eसम+{0/ने},12.1.Fसमुचित~आकार~वाला,12.1.Gpossessed_of_medium_stature
2.1.Æ,सम-विभक्ताङ्गः,B-A,सम-विभक्ताङ्ग{1}{पुं-ए.},सम-विभक्ताङ्ग+{0/ने},सुगठित~अंगों~वाला,having_well_proportionised_limbs
2.1.Ç,स्निग्धवर्णः,B-A,स्निग्धवर्ण{1}{पुं-ए.},स्निग्धवर्ण+{0/ने},आकर्षक,having_unctuous_complexion
2.1.È,प्रतापवान्,B-A,प्रतापवत्{1}{पुं-ए.},प्रतापवत्+{0/ने},प्रभावी,mighty
2.1.É,12.2.Aपीन-वक्षाः,12.2.CB-A,12.2.Dपीन-वक्ष{1}{पुं-ए.},12.2.Eपीन-वक्ष+{0/ने},12.2.Fचौडी~छाती~वाला,12.2.Ghaving_rounded_chest
2.1.Ê,विशालाक्षः,B-A,विशालाक्ष{1}{पुं-ए.},विशालाक्ष+{0/ने},बडी-बडी~आँखों~वाला,having_large_eyes
2.1.Ë,लक्ष्मीवान्,B-A,लक्ष्मीवत्{1}{पुं-ए.},लक्ष्मीवत्+{0/ने},शोभासम्पन्न,full_of_splendour
2.1.Ì,शुभ-लक्षणः,B-A,शुभ-लक्षण{1}{पुं-ए.},शुभ-लक्षण+{0/ने},शुभ~लक्षणों~से~युक्त,associated_with_auspicious_marks
2.1.Í,11,-,11,11,11,11
2.1.Î,1.ASloka,1.C-,1.DSloka,1.ESloka,1.FSloka,1.GSloka
2.1.Ï,2.1.Aधर्मज्ञः,2.1.C-,2.1.Dधर्मज्ञ{1}{पुं-ए.},2.1.Eधर्मज्ञ+{0/ने},2.1.Fधर्म~के~ज्ञाता,2.1.GOne_who_knows_the_secret_of_virtues
2.1.Ð,सत्य-सन्धः,B-A,सत्यसन्ध{1}{पुं-ए.},सत्यसन्ध+{0/ने},सत्यनिष्ठ,true_to_his_promise
2.1.Ñ,च,-,च,च,और,and
2.1.Ò,प्रजानाम्,B-F,प्रजा{6}{स्त्री-ब.},प्रजा+{का},जनता~के,of_the_people
2.1.Ó,च,-,च,च,और,and
2.1.Ô,हिते,B-G,हित{7}{नपुं-ए.},हित+{में/पर},कल्याण~में,in_the_benefit
2.1.Õ,रतः,B-A,रत{1}{पुं-ए.},रत+{0/ने},लगे~रहने~वाले,intent
2.1.Ö,2.2.Aयशस्वी,2.2.CB-A,2.2.Dयशस्विन्{1}{पुं-ए.},2.2.Eयशस्विन्+{0/ने},2.2.Fयशस्वी,2.2.Gillustrious
2.1.×,ज्ञान-सम्पन्नः,B-A,ज्ञानसम्पन्न{1}{पुं-ए.},ज्ञानसम्पन्न+{0/ने},ज्ञानवान्,full_of_wisdom
2.1.Ø,शुचिः,B-A,शुचि{1}{पुं-ए.},शुचि+{0/ने},पवित्र~आचरण~वाले,pure_in_his_dealing
2.1.Ù,वश्यः,B-A,वश्य{1}{पुं-ए.},वश्य+{0/ने},जितेन्द्रिय,self_controlled
2.1.Ú,समाधिमान्,B-A,समाधिमत्{1}{पुं-ए.},समाधिमत्+{0/ने},योगी,having_concentrated_mind
2.1.Û,12,-,12,12,12,12
2.1.Ü,3.1.Aप्रजा-पति-समः,3.1.CB-A,3.1.Dप्रजा-पति-सम{1}{पुं-ए.},3.1.Eप्रजा-पति-सम+{0/ने},3.1.Fब्रह्मा~के~समान,3.1.Glike_the_creator_Brahma
2.1.Ý,श्रीमान्,B-A,श्रीमत्{1}{पुं-ए.},श्रीमत्+{0/ने},दिव्य~विभूति~वाले,affluent
2.1.Þ,धाता,B-A,धातृ{1}{पुं-ए.},धातृ+{0/ने},लोक~के~व्यवस्थापक,supporter_of_the_Creation
2.1.ß,रिपु-निषूदनः,B-A,रिपुनिषूदन{1}{पुं-ए.},रिपुनिषूदन+{0/ने},शत्रुओं~के~विनाशक,slayer_of_his_enemies
2.1.à,3.2.Aरक्षिता,3.2.CB-A,3.2.Dरक्षितृ{1}{पुं-ए.},3.2.Eरक्षितृ+{0/ने},3.2.Fरक्षक,3.2.Gvindicator
2.1.á,जीव-लोकस्य,B-F,जीवलोक{6}{पुं-ए.},जीवलोक+{का},संसार~के,of_living_beings
2.1.â,धर्मस्य,B-F,धर्म{6}{पुं-ए.},धर्म+{का},धर्म~की,of_faith
2.1.ã,परि-रक्षिता,B-A,परि-रक्षितृ{1}{पुं-ए.},परि-रक्षितृ+{0/ने},रक्षा~करने~वाले,staunch_defender
2.1.ä,13,-,13,13,13,13
2.1.å,4.1.Aरक्षिता,4.1.CB-A,4.1.Dरक्षितृ{1}{पुं-ए.},4.1.Eरक्षितृ+{0/ने},4.1.Fरक्षक,4.1.Gvindicator
2.1.æ,स्वस्य,B-F,स्व{6}{पुं-ए.},स्व+{का},अपने,of_own
2.1.ç,धर्मस्य,B-F,धर्म{6}{पुं-ए.},धर्म+{का},धर्म~की,of_faith
2.1.è,स्व-जनस्य,B-F,स्व-जन{6}{पुं-ए.},स्व-जन+{का},अपने~लोगों~के,of_own_people
2.1.é,च,-,च,च,और,and
2.1.ê,रक्षिता,B-A,रक्षितृ{1}{पुं-ए.},रक्षितृ+{0/ने},रक्षक,vindicator
2.1.ë,4.2.Aवेद-वेदाङ्ग-तत्व-ज्ञः,4.2.CB-A,4.2.Dवेदवेदाङ्गतत्वज्ञ{1}{पुं-ए.},4.2.Eवेदवेदाङ्गतत्वज्ञ+{0/ने},4.2.Fवेदों~एवं~वेदाङ्गों~के~रहस्य~को~जानने~वाले,4.2.Gknower_of_the_truth_of_Vedas_and_Vedangas
2.1.ì,धनुः-वेदे,B-G,धनुर्वेद{7}{पुं-ए.},धनुर्वेद+{में/पर},धनुर्वेद~में,in_archery
2.1.í,च,-,च,च,और,and
2.1.î,नि-ष्ठितः,B-A,निष्ठित{1}{पुं-ए.},निष्ठित+{0/ने},पारङ्गत,pastmaster
2.1.ï,14,-,14,14,14,14
2.1.ð,5.1.Aसर्व-शास्त्रार्थ-तत्व-ज्ञः,5.1.C-,5.1.Dसर्वशास्त्रार्थतत्वज्ञः{1}{पुं-ए.},5.1.Eसर्वशास्त्रार्थतत्वज्ञः+{0/ने},5.1.Fशास्त्रों~के~मर्मज्ञ,5.1.Gknower_of_the_real_meaning_of_the_scriptures
2.1.ñ,स्मृतिमान्,B-A,स्मृतिमत्{1}{पुं-ए.},स्मृतिमत्+{0/ने},दृढ~स्मृतिवाले,possessed_of_sharp_memory
2.1.ò,प्रतिभानवान्,B-A,प्रतिभानवत्{1}{पुं-ए.},प्रतिभानवत्+{0/ने},विलक्षणबुद्धिसम्पन्न,possessed_of_quick_wit
2.1.ó,5.2.Aसर्व-लोक-प्रियः,5.2.CB-A,5.2.Dसर्व-लोक-प्रिय{1}{पुं-ए.},5.2.Eसर्व-लोक-प्रिय+{0/ने},5.2.Fसभी~के~प्रिय,5.2.Gpopular_amongst_the_people
2.1.ô,साधुः,B-A,साधु{1}{पुं-ए.},साधु+{0/ने},सज्जन,pious
2.1.õ,अदीनात्मा,B-A,अदीनात्मन्{1}{पुं-ए.},अदीनात्मन्+{0/ने},अदीन~स्वभाव~वाले,high_minded_one
2.1.ö,वि-चक्षणः,B-A,विचक्षण{1}{पुं-ए.},विचक्षण+{0/ने},विवेकयुक्त,clever
2.1.÷,15,-,15,15,15,15
2.1.ø,6.1.Aसर्वदा,6.1.C-,6.1.Dसर्वदा,6.1.Eसर्वदा,6.1.Fहमेशा,6.1.Galways
2.1.ù,अभिगतः,B-A,अभिगत{1}{पुं-ए.},अभिगत+{0/ने},घिरा~हुआ,persons_sought
2.1.ú,सद्भिः,B-C,सत्{3}{पुं-ब.},सत्+{से3},सज्जनों~से,by_righteous
2.1.û,समुद्रः,B-A,समुद्र{1}{पुं-ए.},समुद्र+{0/ने},समुद्र~(की),ocean
2.1.ü,इव,-,इव,इव,के~समान,like
2.1.ý,सिन्धुभिः,B-C,सिन्धु{3}{स्त्री-ब.},सिन्धु+{से3},नदियों~से,by_rivers
2.1.þ,6.2.Aआर्यः,6.2.CB-A,6.2.Dआर्य{1}{पुं-ए.},6.2.Eआर्य+{0/ने},6.2.Fपूज्य,6.2.Gnoble
2.1.ÿ,सर्व-समः,B-A,सर्व-सम{1}{पुं-ए.},सर्व-सम+{0/ने},सर्व-समान,alike_to_all
2.1.Ā,च,-,च,च,और,and
2.1.ā,एव,-,एव,एव,भी,also
2.1.Ă,सदा,-,सदा,सदा,हमेशा,always
2.1.ă,एव,-,एव,एव,भी,also
2.1.Ą,प्रिय-दर्शनः,B-A,प्रियदर्शन{1}{पुं-ए.},प्रियदर्शन+{0/ने},प्रिय~दिखाई~देनेवाले,possessed_of_pleasing_appearance
2.1.ą,16,-,16,16,16,16
2.1.Ć,7.1.Aसः,7.1.CB-A,7.1.Dतद्{1}{पुं-ए.},7.1.Eतद्+{0/ने},7.1.Fवह,7.1.Ghe
2.1.ć,च,-,च,च,और,and
2.1.Ĉ,सर्व-गुणोपेतः,B-A,सर्वगुणोपेत{1}{पुं-ए.},सर्वगुणोपेत+{0/ने},सब~गुणों~से~युक्त,endowed_with_all_excellences
2.1.ĉ,कौसल्यानन्द-वर्धनः,B-A,कौसल्यानन्दवर्धन{1}{पुं-ए.},कौसल्यानन्दवर्धन+{0/ने},कौसल्या~के~आनन्द~को~बढाने~वाला,enhances_the_delight_of_Kausalya
2.1.Ċ,7.2.Aसमुद्रः,7.2.CB-A,7.2.Dसमुद्र{1}{पुं-ए.},7.2.Eसमुद्र+{0/ने},7.2.Fसमुद्र~(की),7.2.Gocean
2.1.ċ,इव,-,इव,इव,के~समान,like
2.1.Č,गाम्भीर्ये,B-G,गाम्भीर्य{7}{नपुं-ए.},गाम्भीर्य+{में/पर},गहराई~में,in_profoundity
2.1.č,धैर्येण,B-C,धैर्य{3}{पुं-ए.},धैर्य+{से3},धैर्य~से,in_firmness
2.1.Ď,हिमवान्,B-A,हिमवत्{1}{पुं-ए.},हिमवत्+{0/ने},हिमालय,Himalaya
2.1.ď,इव,-,इव,इव,के~समान,like
2.1.Đ,17,-,17,17,17,17
