chpatno,slokano,sentno,Words,Sandhied Words,Hindi Meanings,English Meanings
01,009,1,,(-) तनुवाग्विभवोऽपि सन् - तद्गुणैः कर्णमागत्य - चापलाय प्रचोदितः रघूणामन्वयं - वक्ष्ये,मैं वाणी_का_प्रताप_थोडा होते_हुए भी उनके_गुणों_से कान_में प्राप्त_हुए चपलता_के_लिये प्रेरणा_किया_हुआ रघुओं_के वंश_का वर्णन_करता_हूँ,- - - - - - - - - - - -
01,010,1,,सदसद्व्यक्तिहेतवः सन्तः तं श्रोतुमर्हन्ति    -,सत्य_असत्य_का_निर्णय_करनेवाले सज्जन उसको(उस_वंश_को) सुनने~के_लिये योग्य_होते_हैं,- - - - -
01,010,2,,- हेम्नः विशुद्धिः वा श्यामिकाऽपि - ह्यग्नौ   संलक्ष्यते,हि सोने_की पवित्रता और कालिमा भी अग्नि_में अच्छा_दिखता_है,- - - - - - - -
01,011,1,,मनीषिणाम् माननीयो वैवस्वतो - मनुर्नाम - प्रणवश्छन्दसामिव - आसीन्महीक्षितामाद्यः - -,विद्वानों_में_ सम्मान_के_योग्य वैवस्वत नाम मनु छन्दों_में ओंकार जैसे राजाओं_में प्रथम था,- - - - - - - - - - -
01,012,1,,तदन्वये शुद्धिमति प्रसूतः शुद्धिमत्तरः - दिलीप इति - राजेन्दुरिन्दुः क्षीरनिधाविव (अभवत्),वह-अन्वय_में शुद्धि-मति प्र_षू1या_हुए शुद्धि-मैं-तरः जैसे दिलीप_ने इति-राजा-चन्द्रमा - चन्द्रमा जल-निधि_में ध्_भू1_प्प्_स्क्या,- - - - - - - - - - -
01,013,1,,(-) व्यूढोरस्कः वृषस्कन्धः शालप्रांशुः महाभुजः आत्मकर्मक्षमम् देहम् आश्रितः क्षात्रो धर्म इव (-),दिलीप चौडा साँड-कन्धे शाल-वृक्षःसा–उन्नत महत भुज आत्म-कर्म-योग्य शरीर_में आश्रय_लिया क्षात्र-धर्म_ने - जैसे -,- - - - - - - - - - - -
01,014,1,,सर्वातिरिक्तसारेण सर्वतेजोभिभाविना सर्वोन्नतेनोर्वीं - मेरुरिवात्मना - - क्रान्त्वा स्थितः (आसीत्),सब-अतिरिक्त-आवश्यक_से सब-तेजोभि-भावी सब-उन्नत आत्मा_के_द्वारा मेरु जैसे भूमि चाह_कर स्थित_ने अस्2_प्प्_स्क्या,- - - - - - - - - -
01,015,1,,(-) आकारसदृशप्रज्ञः प्रज्ञया सदृशागमः - आगमैः सदृशारम्भः - आरम्भसदृशोदयः (-),उस - बुद्धि_से समान_का जन्म जन्मों_से समान - आरम्भ-समान-उदय थे,- - - - - - - - - -
01,016,1,,स यादोरत्नैरिवार्णवः - - भीमकान्तैर्नृपगुणैः - - अधृष्यश्चाभिगम्यश्च - - - बभूवोपजीविनाम्,वह कोई_भी_विशालकाय_जलजन्तु_के अर्णव जैसे भीम-पति राजा-गुणों_से उपजीविनों_का अधृष्य भी अभिगम्य और हुआ,- - - - - - - - - - - -
01,017,1,,रेखामात्रमपि  - क्षुण्णादामनोर्वर्त्मनः  - - परम्  न व्यतीयुः प्रजास्तस्य  - नियन्तुर्नेमिवृत्तयः  -,रेखा-मात्र भी ध्_क्षुद्1या_हुए मनु_से मार्ग_से बाद नहीं वि_अति_इ1_प्प्_स्क्या स्वामियों_ने उस नियन्ते_के नेमि-वृत्ति,- - - - - - - - - - - -
01,018,1,,प्रजानामेव - भूत्यर्थं स ताभ्यो बलिमग्रहीत् -,प्रजा_के ही कल्याण-अर्थ_को उसने उनसे बलि लिया,- - - - - - -
01,018,2,,सहस्रगुणमुत्स्रष्टुमादत्ते - - हि रसम् रविः,हजार-गुण उत्_सृज्2ने~के_लिये उगता_है हि रस_को रवि,- - - - - -
01,019,1,,सेनापरिच्छदस्तस्य  - (बभूव),परिच्छद उसकी ध्_भू1_प्प्_स्क्या,- - -
01,019,2,,द्वयमेव  - अर्थसाधनम् शास्त्रेष्वकुन्ठिता  - बुद्धिर्मैर्वी  - धनुषी आतता च (बभूव),दोहरा ही अर्थ-साधन शास्त्रों_में अ-वि_आङ्_हन्1या_हुईं बुद्धि_ने - धनुष आङ्_तन्1या_हुआ - ध्_भू1_प्प्_स्क्या,- - - - - - - - - - -
01,020,1,,संवृतमन्त्रस्य गूढाकारेङ्गितस्य च तस्य प्रारम्भाः संस्काराः प्राक्तना इव फलानुमेयाः (-),संवृत-मन्त्र - भी उसके प्रारम्भ संस्कार प्राचीन जैसे फल- हुए,- - - - - - - - - -
01,021,1,,जुगोप आत्मानम् अत्रस्तः,व्याकुल_हुआ रक्षा_की आत्मा_को अ-,- - -
01,021,2,,भेजे धर्मम् अनातुरः,भज्1_अप्_स्क्या धर्म अनातुर_ने,- - -
01,021,3,,अगृध्नुराददे _ सोऽर्थम् _,अ-गृध्नु उगा  वह अर्थ,- - - -
01,021,4,,असक्तः सुखम् अन्वभूत्,असक्त_ने सुख अनुभव_किया,- - -
01,022,1,,ज्ञाने (तस्य) मौनं (आसीत्),ज्ञान_में उसका मौन था,- - - -
01,022,2,,शक्तौ क्षमा (आसीत्),शक्ति_में क्षमा थी,- - -
01,022,3,,त्यागे श्लाघाविपर्ययः (आसीत्),त्याग_में श्लाघ-विपरीत था,- - -
01,022,4,,तस्य गुणा गुणानुबन्धित्वात् ___ सप्रसवा इव (आसन्),उसके गुण-अ-गुण वृक्ष_से स-प्रसव जैसे थे,- - - - - -
01,023,1,,विषयैर्विद्यानां अनाकृष्टस्य विषयैर्विद्यानां पारदृश्वनः धर्मरतेरासीद्वृद्धत्वं तस्य जरसा विना धर्मरतेरासीद्वृद्धत्वं धर्मरतेरासीद्वृद्धत्वं,विषयों_से अन्-अकृष्ट विद्या_के पारदृश्वन्_के धर्म-रति उसका बुढापे_का विना वृद्धत्व था,- - - - - - - - - -
01,024,1,,प्रजानां विनयाधानाद्रक्षणाद्भरणादपि - - - स पिता (-),प्रजा_का नीति-शिक्षण_से रक्षण_से घुडकने~भरण पोषण करने से भी वह पिता था,- - - - - - - -
01,024,2,,(-) प्रजानां पितरास्तासां केवलं जन्महेतवः आसन्,उन प्रजा_के पिता केवल जन्म- थे,- - - - - -
01,025,1,,दण्ड्यान्परिणेतुः स्थित्यै दण्डयतो प्रसूतये - मनीषिणः तस्यास्तां - अप्यर्थकामौ धर्म एव -,अपराध स्थिति_के_लिये दण्ड_देते_हैं जन्म_देना_के_लिये परिणेतृ_की बुद्धिमान् उसके अर्थकाम भी धर्म ही था,- - - - - - - - - - - -
01,026,1,,दुदोह गां सः यज्ञाय,दोहा गाय_को उसने यज्ञ_के_लिये,milked cow He For the prayer/sacrifice
01,026,2,,सस्याय मघवा दिवं (-),अनाज_के_लिये इन्द्र_ने आकाश_को दोहा,- - - -
01,026,3,,सम्पद्विनिमयेन उभौ दधतु भुवनद्वयं,सम्पत्ति-विनिमय_से दोनो धारण_करिए भुवन-दोहरा,an interchange of benefit or advantage Both - two worlds
01,027,1,,न किलानुययुस्तस्य - - राजानो रक्षितुर्यशः -,नहीं अवश्य अनु_या1_प्प्_स्क्या उसके राजाओं_ने चौकीदार_के यशः,- - - - - - -
01,027,2,,व्यावृत्ता यत्परस्वेभ्यः - श्रुतौ तस्करता स्थिता,ण्थ्या_हुए क्योंकि बाद-स्वयं_से श्रुति_में चोर-भाव ध्_ष्था1या,- - - - - -
01,028,1,,यथौषधम् - - (-) (-) (-) शिष्टस्तस्यार्तस्य द्वेष्योऽपि - - सम्मतः (-),जैसे पीडित_की औषधि सहमत_ने अस्2_प्प्_स्क्या वैसे शिष्ट_व्यक्ति घृणा_योग्य_ने भी उसका - अस्2_प्प्_स्क्या,- - - - - - - - - - - -
01,028,2,,दुष्टः (-) प्रियोऽप्यासीदङ्गुलीवोरगक्षता - - - - त्याज्यो -,दुःखित_होना_या_किया_हुआ नर प्रिय भी उरग-क्षता अङ्गुली जैसे - था,- - - - - - - - -
01,029,1,,नूनं वेधा महाभूतसमाधिना तं विदधे,अवश्य ब्रह्मे_ने - वह किया,- - - - -
01,029,2,,तथा हि तस्यासन्परार्थैकफला सर्वे गुणाः - -,वैसे हि उसके सब गुण बाद-अर्थ-एक- थे,- - - - - - -
01,030,1,,स वेलावप्रवलयां परिखीकृतसागराम् अनन्यशासनामुर्वीं शशासैकपुरीमिव - -,उसने समय-दुर्गाप्राचीर-वलया परिखीकृत-सागरा अनन्य-शासनाम्-भूमि शासन_किया एक-पुरी_से जैसे,- - - - - - -
01,031,1,,तस्य मगधवंशजा दाक्षिण्यरूढेन सुदक्षिणेत्यासीदध्वरस्येव - नाम्ना पत्नी - दक्षिणा - -,उसकी मागध-वंशजा नम्रता-उगा_हुए सुदक्षिणा ऐसा नाम_से - अध्वर_का दक्षिणा जैसे थी,- - - - - - - - - - -
01,032,1,,कलत्रवन्तमात्मानमवरोधे - - महत्यपि - तया मेने मनस्विन्या लक्ष्म्या च वसुधाधिपः,कलत्र आत्मा अवरोध महान्_में भी उससे जाना मनस्विनी_से लक्ष्मी_से और -,- - - - - - - - - - -
01,033,1,,"- तस्यामात्मानुरूपायामात्मजन्मसमुत्सुकः - स विलम्बितफलैः मनोरथैः
 कालं
 निनाय",आत्मा-अनुरूप उसमें आत्मा-जन्मन् उसने लम्ब्-फलों_से मनः-रथों_से समय ले गया/बिताया,- - - - - - - -
01,034,1,,सन्तानार्थाय  विधये स्वभुजादवतारिता  - तेन धूर्जगतो  - गुर्वी सचिवेषु निचिक्षिपे,पुत्र-पुत्री-अर्थ_के_लिये विधयों_को अपना-हाथ_से उतराईं_हुईं उससे धुर्_ने जगत्_की भारी सचिवों_में रखा,- - - - - - - - - -
01,035,1,,अथाभ्यर्च्य प्रयतौ तौ दम्पती पुत्रकाम्यया विधातारं - गुरोर्जग्मतुराश्रमम् वसिष्ठस्य - -,और - वे पति_और_पत्नियों_को पुत्र-कामना_से विधाता अभि_अर्च्1_कर भारी वसिष्ठ_का आश्रम गये,- - - - - - - - - - -
01,036,1,,स्निग्धगम्भीरनिर्घोषमेकं - स्यन्दनमास्थितौ प्रावृषेण्यं पयोवाहं विद्युदैरावताविव - - (-) (-),"चिकना, तैलाक्त,मृदु, सौम्य,गभीर-निर्घोष,ध्वनि निनाद एक रथ वर्षा ऋतु में उत्पन्न, वर्षा ऋतु से संबद्ध,प्रावृषेण्य_को बादल,पयोवाह_के विद्युत्-ऐरावत जैसे रहने_वाले वे गये",- - - - - - - - - -
01,037,1,,- मा भूदाश्रमपीडेति - (-) परिमेयपुरःसरौ अनुभावविशेषात्तु - सेनापरिवृताविव - (-) (-),आश्रम-पीडा - हुआ ऐसा हेतु_से परिमेय-पुरःसर - तो - जैसे वे गये,- - - - - - - - - - - -
01,038,1,,सुखस्पर्शैः शालनिर्यासगन्धिभिः पुष्परेणूत्किरैर्वातैराधूतवनराजिभिः - - सेव्यमानौ (-) (-),"सुख-स्पर्श शाल-निर्यास-गन्धियों_से पुष्प-रेणू-उत्किर आधूत-अरण्य, जंगल, वृक्षों का-धारी, रेखा, पंक्ति, कतार हवा, वायु से सेवा की वे गये",- - - - - - - -
01,039,1,,रथनेमिस्वनोन्मुखैः शिखण्डिभिः द्विधा भिन्नाः मनोभिरामाः षड्जसंवादिनीः केका श्रृण्वन्तौ (-) (-),रथ-नेमि-कोलाहल-उन्मुख शिखाधारियों_से दो प्रकार से द्विधा-भिन्न मनो-अभिराम षड्ज_स्वर-संवादिनी मोर_की_बोलियों_को सुनते_हुए वे गये,- - - - - - - - - -
01,040,1,,- स्यन्दनाबद्धदृष्टिषु मृगद्वन्द्वेषु परस्पराक्षिसादृश्यमदूरोज्झितवर्त्मसु पश्यन्तौ (-) (-),- अदूर-दृष्टि_वाले हिरन-द्वन्द्वों_में परस्पर-अक्षी-सादृश्य_को देखते_हुए वे गये,- - - - - - -
01,041,1,,श्रेणीबन्धाद्वितन्वद्भिरस्तम्भां - तोरणस्रजम् - कलनिर्ह्रादैः सारसैः क्वचिदुन्नमिताननौ - (-) (-),दल-बन्ध_से अ-दबाना - वि_तन्1ते_हुए मधुर_और_अस्पष्ट-निर्ह्राद हंसों_से कहीं - वे गये,- - - - - - - - - -
01,042,1,,पवनस्यानुकूलत्वात्प्रार्थनासिद्धिशंसिनः - - - रजोभिस्तुरगोत्कीर्णैरस्पृष्टालकवेष्टनौ - (-) (-),प्रार्थना-पूर्णता-शंसिन्_के हवा_के अनुकूल_से घोडा-ण्थ्या_हुए धूल_से अस्पृष्टा-अलक-लपेटने~को वे गये,- - - - - - - -
01,043,1,,सरसीष्वरविन्दानां वीचिविक्षोभशीतलम् स्वनिःश्वासानुकारिणम् - आमोदमुपजिघ्रन्तौ - (-) (-),सरसियों_में लहर-हिलाना-शीतल अपना-निःश्वास-अनु_कृ2ने~को कमलों_के आमोद_के उप-सूँघता_हुवे वे गये,- - - - - - - -
01,044,1,,- यूपचिह्नेषु ग्रामेष्वात्मविसृष्टेषु - - - - प्रतिगृह्णन्तावर्घ्यानुपदमाशिषः (-) (-),आत्म-उद्गीर्णों_में यूप-चिह्नों_में गाँवों_में यज्ञ_करने_वालों_के अमोघ आशीर्वाद_के अर्घ्य-अनुपद_को अनुमोदन_करते_हुए वे गये,- - - - - - - - - -
01,045,1,,हैयङ्गवीनमादाय - - घोषवृद्धानुपस्थितान् - मार्गशाखिनाम् नामधेयानि - (-) (-),ताजा_घी_को ले_कर उपस्थित घोष-वृद्ध विशाल_जंगलों_के मार्ग-वेदों_का धेय- पूछते_हुए वे गये,- - - - - - - - - -
01,046,1,,- शुद्धवेषयोः तयोरासीद्व्रजतोः हिमनिर्मुक्तयोर्योगे चित्राचन्द्रमसोरिव - - काऽप्यभिख्या - - -,जाते_हुए - उनकी वर्फ-निर्मुक्ताओं_के चित्र-चन्द्रमाओं_में जैसे योग_में कौन भी - थी,- - - - - - - - - - -
01,047,1,,- बुधोपमः - तत्तद्भूमिपतिः - पत्न्यै दर्शयन्प्रियदर्शनः लङ्घितमध्वानं अपि - न बुबुधे,प्रिय-दर्शन विद्वान्-उपम भूमि-पति - - पत्नी_को दिखाता_हुआ - भी मार्ग_को नहीं -,- - - - - - - - - - - -
01,048,1,,दुष्प्रापयशाः श्रान्तवाहनः - स सायम् संयमिनस्तस्य - महर्षेर्महिषीसखः - प्रापदाश्रमं,दुष्प्राप-यशस् वाहन_से रानी-सख वह संध्याकाल संयमी_के उस महर्षि_का आश्रम प्राप्त_हुआ,- - - - - - - - - -
01,049,1,,(-) वनान्तरादुपावृत्तैः - समित्कुशफलाहरैः - - पूर्यमाणमदृश्याग्निप्रत्युद्यातैस्तपस्विभिः (-) (-),- वन-अन्तर_से उप-आङ्_वृत्1या_हुए संग्राम-कुश-फल-आहरों_से अदृश्य-अग्नि-ण्थ्या_हुए तपस्वियों_से - आश्रम प्राप्त_हुआ,- - - - - - - - -
01,050,1,,(-) नीवारभागधेयोचितैर्मृगैः - - अपत्यैरिव - - आकीर्णमृषिपत्नीनामुटजद्वाररोधिभिः (-) (-),वह नीवार-भागधेय-उचितों_से कुटिया-द्वार- ऋषि-पत्नियों_के अपत्यों_से जैसे हिरनों_से बिखरा_हुवा आश्रम प्राप्त_हुआ,- - - - - - - - - -
01,051,1,,(-) - विहङ्गानामालवालाम्बुपायिनाम् विश्वासाय मुनिकन्याभिस्तत्क्षणोज्झितवृक्षकम् सेकान्ते - (-) (-),वह आलवाल-जल- पक्षियों_का - मुनि-कन्याओं_से छिड़कना-अन्ति - आश्रम_को प्राप्त_हुआ,- - - - - - - - -
01,052,1,,(-) आतपात्ययसंक्षिप्तनीवारासु - निषादिभिः मृगैर्वर्तितरोमन्थमुटजाङ्गनभूमिषु - (-) (-),वह - - निषादिनों_से हिरनों_से - आश्रम प्राप्त_हुआ,- - - - - - - -
01,053,1,,(-) अभ्युत्थिताग्निपिशुनैरतिथीनाश्रमोन्मुखान् - पवनोद्धूतैर्धूमैराहुतिगन्धिभिः - - - पुनानं (-) (-),वह अभ्युत्थित-अग्नि-पिशुनों_से आहुति-गन्धियों_से - धुँओं_से आश्रम-उन्मुखों_को अतिथियों_को कुर्वाण- आश्रम प्राप्त_हुआ,- - - - - - - - - -
01,054,1,,अथ सः यन्तारमादिश्य धुर्यान्विश्रामयेति - - - तामवारोहयत्पत्नीं - रथादवततार -,"और वह चालक, सारथि, निदेशक_को धुर्यों_को - ऐसा - उसको पत्नी_को रथ_से -",- - - - - - - - - - -
01,054,2,,(अथ) (सः) (यन्तारमादिश्य) (धुर्यान्विश्रामयेति) (-) (-) (-) रथादवततार - च,"और वह चालक, सारथि, निदेशक_को धुर्यों_को - ऐसा - रथ_से उतरा और",- - - - - - - - - -
01,055,1,,तस्मै सभ्याः सभार्याय गोप्त्रे गुप्ततमेन्द्रियाः अर्हणामर्हते - चक्रुर्मुनयो - नयचक्षुषे,"उस_को विनम्र_ने,(सुशील, विनम्र, शिष्ट(रघु* १।५५)(कु* ७।२९)) सभार्य_के_लिये गोप्तृ_के_लिये, प्ररक्षक, संधारक के_लिये ज्ञानेन्द्रियाँ या बुद्धीन्द्रियाँ - कर्मेन्द्रियाँ के उपर विजय प्राप्त किया है जिसने अर्हणा_को, पूजा, आराधना, सम्मान, आदर तथा सम्मान के साथ व्यवहार करना, योग्य , अधिकारी, पूजनीय_के_लिये ध्_कृ3_प्प्_स्क्या मुनि, ऋषि, महात्मा, सन्त, भक्त, संन्यासी, नीति-चक्षुस्, नैतिकता, न्याय, न्यायपरता, न्पाय्यताचलति का पालन करनेवाला","- Persons belonging to or fit for an assembly or court , suitable to good society , courteous , polite , refined , civilized  king who is with his wife For one who preserves or protects or defends or cherishes The person who has controlled his organs of senses To worship , honour For person with authority and who is eligible had done saint , sage , seer , ascetic , monk  noble & righteous man"
01,056,1,,विधेः सायन्तनस्यान्ते - स ददर्श तपोनिधिम् अन्वासितमरुन्धत्या - स्वाहयेव - हविर्भुजम् (अन्वासितमरुन्धत्या),विधि_का सायंकाल हुए ध्_अम्1या_हुए उसने ध्_दृश्1_प्प्_स्क्या तपः-निधि_को ण्थ्या_हुआ अरुन्धती_से स्वाहा_से जैसे अग्नि_को ण्थ्या_हुआ,- - - - - - - - - - - -
01,057,1,,- मागधी राज्ञी च तयोर्जगृहतुः पादान्राजा -,राजा मागध_की रानी_ने और उनके पैरों_को पकड लिया,- - - - - - -
01,057,2,,तौ गुरुर्गुरुपत्नी  - च प्रीत्या प्रतिननन्दतुः,वे गुरु गुरु-पत्नी_ने और प्रसन्नता_से आशिर्वाद  दिया,- - - - - -
01,058,1,,मुनिः - तमातिथ्यक्रियाशान्तरथक्षोभपरिश्रमम् राज्याश्रममुनिम् राज्ये कुशलम् पप्रच्छ,मुनि_ने अतिथि_का_स्वागत-क्रिया-शान्त उसको राज्याश्रम-मुनि राज्य_का कुशल पूछा,- - - - - - -
01,059,1,,अथाथर्वनिधेस्तस्य विजितारिपुः वदतां वरः अर्थ्यामर्थपतिर्वाचमाददे - - पुरः - - -,और नगर_का वद्3ते_हुए श्रेष्ठ अर्थ-पति अथर्व-निधि उसकी नगर_का - वाणी_को उगी,- - - - - - - - - - -
01,060,1,,मे सप्तस्वङ्गेषु - ननु शिवं उपपन्नं,मेरा सातों_में अङ्गों_में क्योंकि शिव_को -,- - - - - -
01,060,2,,यस्य (-) दैवीनां मानुषीणां च - त्वमापदाम् प्रतिहर्ता (असि),जिस मेरी दैवियों_का मानवी और संकटों_का तुम - हो,- - - - - - - - -
01,061,1,,- - मन्त्रकृतो तव मन्त्रैर्दूरात्प्रशमितारिभिः दृष्टलक्ष्यभिदः मे शराः प्रत्यादिश्यन्त इव,दूर_से - मन्त्र-कृत् तुम्हारा मन्त्रों_से - मेरा बाण प्रति_आङ्_दिश्1_अप्_स्क्_जाते_हैं जैसे,- - - - - - - - - -
01,062,1,,होतस्त्वया - विधिवदग्निषु - - हविरावर्जितं सस्यानामवग्रहविशोषिणाम् - वृष्टिर्भवति -,होतृ तुमसे विधि_वत् अग्नि_में फेंका_गया - अवग्रह-ण्थ्ते_हुए अनाजों_की बारीश होती_है,- - - - - - - - - -
01,063,1,,पुरुषायुष्यजीविन्यो निरातंका निरीतयः - प्रजास्तस्य (-) यन्मदीयाः - हेतुस्त्वद्ब्रह्मवर्चसम् - (-),पुरुष-जीवन-जीविनी निरातङ्कें - मेरा प्र हैं कि उसका त्वत्-परमात्मा-वीर्य कारण है,- - - - - - - - - - -
01,064,1,,ब्रह्मयोनिना गुरुणा त्वयैवं — चिन्त्यमानस्य निरापदः मे संपदो सानुबन्धाः कथं न स्युः,परमात्मा-योनि भारी तुमसे ऐसा - निर्-संकट मेरी सम्पत्ति_का स- कैसे नहीं होयें,- - - - - - - - - - - -
01,065,1,,किन्तु वध्वाम् तवैतस्यामदृष्टसदृशप्रजम् - - न मामवति - सद्वीपा रत्नसूरपि - मेदिनी,किन्तु बहू_में तुम्हारी इसमें अदृष्ट नहीं मुझे ध्_अव्1_प्प्_स्क्ती_है द्वीप-साथ रत्न-सू भी मेदिन्,- - - - - - - - - - - -
01,066,1,,नूनं मत्तः परं वंश्याः पिण्डविच्छेददर्शिनः  स्वधासंग्रहतत्पराः श्राद्धे प्रकामभुजः न (-),अवश्य अस्मद्_से पर_को पूर्वज पिण्ड-वि-छेद स्वधा-तत्परें श्राद्ध_में - नहीं हैं,- - - - - - - - - -
01,067,1,,मत्परं दुर्लभं मत्वा नूनमावर्जितं - मया पयः पूर्वैः स्वनिःश्वासैः कवोष्णमुपभुज्यते -,मत्-बाद दुर्लभ जान_कर अवश्य आ-वर्जित मेरे_द्वारा दूध पूर्व_से अपना-निःश्वास गुनगुने_को उप_भुज्2_अप्_स्क्_जाता_है,- - - - - - - - - - -
01,068,1,,सोऽहमिज्याविशुद्धआत्मा प्रजालोपनिमीलितः - - लोकअलोक  इवाचलः - प्रकाशश्चाप्रकाशश्च  - - - (अस्मि),इज्या-विशुद्ध-आत्मा प्रजा-लोप-नि_मील्1या_हुआ वह मैं लोक-अलोक अचल जैसे प्रकाश भी - और अस्2_प्प्_स्क्ता_हूँ,- - - - - - - - - - - -
01,069,1,,तपोदानसमुद्भवम् पुण्यं लोकान्तरसुखं (-),तपः-समुद्भव पुण्य लोकान्तर- होता_है,- - - -
01,069,2,,हि शुद्धवंश्या सन्ततिः परत्रेह - च शर्मणे (-),- शुध्-वंश्यें पालन बाद- यहाँ भी शर्मे_के_लिये ध्_भू1_प्प्_स्क्ती_है,- - - - - - - -
01,070,1,,विधातर्मां तया हीनं - स्नेहाद्वन्ध्यमाश्रमवृक्षकम् स्वयमिव सिक्तं - - - पश्यन्न कथं - दूयसे,विधाता उसके_द्वारा हीन मुझे स्नेह_से खुद सींचे_गये फलरहित आश्रमके-छोटे_पेड़ जैसे देखकर कैसे नहीं दुःखी होते,- - - - - - - - - - - - - -
01,071,1,,असह्यपीडं भगवन्नृणमन्त्यमवेहि मे अरुन्तुदमिवालानमनिर्वाणस्य दन्तिनः - - - - - -,"भगवान मेरे अन्तिम(पित्रृऋणम् ) ऋण_को जिसने अभी स्नान नहीं किया हाथी_के मर्मस्थानों को छेदने वाला, घायल करने वाला, पीडाजनक वह स्तंभ जिससे हाथी बाँधा जाय, बाँधे जाने वाला खंबा, रस्सा जैसे असह्य दुःख  जानो",- - - - - - - - - - -
01,072,1,,तात यथा (-) तस्मान्मुच्ये - तथार्हसि (-) संविधातुं -,पिता जैसे - उससे छोडछोड/मुक्त_हुआ_जाता_है वैसे - ण्थ् योग्य_होते_हो,- - - - - - - - -
01,072,2,,हि इक्ष्वाकूणां दुरापेऽर्थे - त्वदधीना - (सिद्धयः),- इक्ष्वाकुओं_के कठिन कार्यों के अर्थ_में सिद्धियाॅ आपके अधीन है,- - - - - - -
01,073,1,,इति राज्ञा विज्ञापितो - ध्यानस्तिमितलोचनः (-) सुप्तमीन ह्रदः इव क्षणमात्रमृषिस्तस्थौ -,- राजा_से संवाद ऋषि गीला_हुआ_हुआ सज्जन - तालाब जैसे क्षण-मात्र रहा,- - - - - - - - - - -
