संस्कृतम्,विभक्ति:,शब्दविश्लेषणम्,हिन्दी-विभक्ति:,हिन्दी अर्ध,English Meaning
तैः,B-C,तत्{3}{पुं-ब.},तत्+{से3},उन (उक्त गुणों) से,with the said virtues
युक्तः,B-A,युक्त{1}{पुं-ए.},युक्त+{0/ने},सम्पन्न,associated
श्रूयताम्,-,श्रु{कर्मणि लोट् प्रपु ए./श्रु-भावे},श्रु{कर्मणि लोट् प्रपु ए./श्रु-भावे},सुनिए,please hear
नरः,B-A,नर{1}{पुं-ए.},नर+{0/ने},मानव,man
7,-,7,7,7,7
9.1.Aइक्ष्वाकुवंश-प्रभवः,9.1.CB-A,9.1.Dइक्ष्वाकुवंश-प्रभव{1}{पुं-ए.},9.1.Eइक्ष्वाकुवंश-प्रभव+{0/ने},9.1.Fइक्ष्वाकुवंश में उत्पन्न,9.1.Gborn in Ikshvaku dynasty
रामः-नाम,B-A,राम{1}{पुं-ए.}-नाम,राम+{0/ने},राम नाम से प्रसिद्ध,by the name 'Rama'
जनैः,B-C,जन{3}{पुं-ब.},जन+{से3},साधारण जनों के द्वारा,by common men
श्रुतः,B-A,श्रुत{1}{पुं-ए.},श्रुत+{0/ने},विज्ञात,known
9.2.Aनियतात्मा,9.2.CB-A,9.2.Dनियतात्मन्{1}{पुं-ए.},9.2.Eनियतात्मन्+{0/ने},9.2.Fस्वाधीन अन्त:करण वाला,9.2.Gself controlled
महा-वीर्यः,B-A,महा-वीर्य{1}{पुं-ए.},महा-वीर्य+{0/ने},अत्यधिक सामर्थ्यशाली,very powerful
द्युतिमान्,B-A,द्युतिमत्{1}{पुं-ए.},द्युतिमत्+{0/ने},कान्तियुक्त,radiant
धृतिमान्,B-A,धृतिमत्{1}{पुं-ए.},धृतिमत्+{0/ने},धैर्यशाली,resolute
वशी,B-A,वशिन्{1}{पुं-ए.},वशिन्+{0/ने},जितेन्द्रिय,one who has conquired over sense organs
8,-,8,8,8,8
10.1.Aबुद्धिमान्,10.1.CB-A,10.1.Dबुद्धिमत्{1}{पुं-ए.},10.1.Eबुद्धिमत्+{0/ने},10.1.Fप्रशस्त बुद्धि युक्त,10.1.Gintelligent
नीतिमान्,B-A,नीतिमत्{1}{पुं-ए.},नीतिमत्+{0/ने},नीति के ज्ञाता,sagacious
वाग्ग्मी,B-A,वाग्ग्मिन्{1}{पुं-ए.},वाग्ग्मिन्+{0/ने},अच्छा वक्ता,eloquent
श्रीमान्,B-A,श्रीमत्{1}{पुं-ए.},श्रीमत्+{0/ने},शोभा से युक्त,glorious
शत्रु-निबर्हणः,B-A,शत्रु-निबर्हण{1}{पुं-ए.},शत्रु-निबर्हण+{0/ने},शत्रु का नाश करने वाला,exterminator of foes
10.2.Aविपुलांसः,10.2.CB-A,10.2.Dविपुलांस{1}{पुं-ए.},10.2.Eविपुलांस+{0/ने},10.2.Fउन्नत स्कन्धा वाला,10.2.Gdistinguished with broad shoulder
महा-बाहुः,B-A,महा-बाहु{1}{पुं-ए.},महा-बाहु+{0/ने},विशाल बाँहा वाला,having powerful arms
कम्बु-ग्रीवः,B-A,कम्बु-ग्रीव{1}{पुं-ए.},कम्बु-ग्रीव+{0/ने},शंख सदृश ग्रीवा वाला,having a neck shaped as a conch
महा-हनुः,B-A,महा-हनु{1}{पुं-ए.},महा-हनु+{0/ने},पुष्ट ठुड्डी वाला,having stout chin
9,-,9,9,9,9
11.1.Aमहोरस्कः,11.1.CB-A,11.1.Dमहोरस्क{1}{पुं-ए.},11.1.Eमहोरस्क+{0/ने},11.1.Fविशाल छाती वाला,11.1.Gमहोरस्कः
महेष्वासः,B-A,महेष्वास{1}{पुं-ए.},महेष्वास+{0/ने},विशाल धनुषा वाला,holding mighty bow
गूढ-जत्रुः,B-A,गूढ-जत्रु{1}{पुं-ए.},गूढ-जत्रु+{0/ने},अप्रकाशित हँसुली (स्कन्ध की हड्डी) वाला,whose collar bone covered with flesh
अरिन्दमः,B-A,अरिन्दम{1}{पुं-ए.},अरिन्दम+{0/ने},शत्रुओं का दमन करने वाला,capable of subduing his foes
11.2.Aआ-जानु-बाहुः,11.2.CB-A,11.2.Dआ-जानु-बाहु{1}{पुं-ए.},11.2.Eआ-जानु-बाहु+{0/ने},11.2.Fघुटने तक लम्बी भुजाओं वाला,11.2.Gwhose arms extended right upto his knees
सु-शिराः,B-A,सुशिरस्{1}{पुं-ए.},सुशिरस्+{0/ने},सुन्दर शिर वाला,having well formed head
सु-ललाटः,B-A,सु-ललाट{1}{पुं-ए.},सु-ललाट+{0/ने},सुन्दर ललाट वाला,having shapely forehead
सु-विक्रमः,B-A,सु-विक्रम{1}{पुं-ए.},सु-विक्रम+{0/ने},सुन्दर गति से चलने वाला,possessed of charming gait
10,-,10,10,10,10
12.1.Aसमः,12.1.CB-A,12.1.Dसम{1}{पुं-ए.},12.1.Eसम+{0/ने},12.1.Fसमुचित आकार वाला,12.1.Gpossessed of medium stature
सम-विभक्ताङ्गः,B-A,सम-विभक्ताङ्ग{1}{पुं-ए.},सम-विभक्ताङ्ग+{0/ने},सुगठित अंगों वाला,having well proportionised limbs
स्निग्धवर्णः,B-A,स्निग्धवर्ण{1}{पुं-ए.},स्निग्धवर्ण+{0/ने},आकर्षक,having unctuous complexion
प्रतापवान्,B-A,प्रतापवत्{1}{पुं-ए.},प्रतापवत्+{0/ने},प्रभावी,mighty
12.2.Aपीन-वक्षाः,12.2.CB-A,12.2.Dपीन-वक्ष{1}{पुं-ए.},12.2.Eपीन-वक्ष+{0/ने},12.2.Fचौडी छाती वाला,12.2.Ghaving rounded chest
विशालाक्षः,B-A,विशालाक्ष{1}{पुं-ए.},विशालाक्ष+{0/ने},बडी-बडी आँखों वाला,having large eyes
लक्ष्मीवान्,B-A,लक्ष्मीवत्{1}{पुं-ए.},लक्ष्मीवत्+{0/ने},शोभासम्पन्न,full of splendour
शुभ-लक्षणः,B-A,शुभ-लक्षण{1}{पुं-ए.},शुभ-लक्षण+{0/ने},शुभ लक्षणों से युक्त,associated with auspicious marks
11,-,11,11,11,11
1.ASloka,1.C-,1.DSloka,1.ESloka,1.FSloka,1.GSloka
2.1.Aधर्मज्ञः,2.1.C-,2.1.Dधर्मज्ञ{1}{पुं-ए.},2.1.Eधर्मज्ञ+{0/ने},2.1.Fधर्म के ज्ञाता,2.1.GOne who knows the secret of virtues
सत्य-सन्धः,B-A,सत्यसन्ध{1}{पुं-ए.},सत्यसन्ध+{0/ने},सत्यनिष्ठ,true to his promise
च,-,च,च,और,and
प्रजानाम्,B-F,प्रजा{6}{स्त्री-ब.},प्रजा+{का},जनता के,of the people
च,-,च,च,और,and
हिते,B-G,हित{7}{नपुं-ए.},हित+{में/पर},कल्याण में,in the benefit
रतः,B-A,रत{1}{पुं-ए.},रत+{0/ने},लगे रहने वाले,intent
2.2.Aयशस्वी,2.2.CB-A,2.2.Dयशस्विन्{1}{पुं-ए.},2.2.Eयशस्विन्+{0/ने},2.2.Fयशस्वी,2.2.Gillustrious
ज्ञान-सम्पन्नः,B-A,ज्ञानसम्पन्न{1}{पुं-ए.},ज्ञानसम्पन्न+{0/ने},ज्ञानवान्,full of wisdom
शुचिः,B-A,शुचि{1}{पुं-ए.},शुचि+{0/ने},पवित्र आचरण वाले,pure in his dealing
वश्यः,B-A,वश्य{1}{पुं-ए.},वश्य+{0/ने},जितेन्द्रिय,self controlled
समाधिमान्,B-A,समाधिमत्{1}{पुं-ए.},समाधिमत्+{0/ने},योगी,having concentrated mind
12,-,12,12,12,12
3.1.Aप्रजा-पति-समः,3.1.CB-A,3.1.Dप्रजा-पति-सम{1}{पुं-ए.},3.1.Eप्रजा-पति-सम+{0/ने},3.1.Fब्रह्मा के समान,3.1.Glike the creator Brahma
श्रीमान्,B-A,श्रीमत्{1}{पुं-ए.},श्रीमत्+{0/ने},दिव्य विभूति वाले,affluent
धाता,B-A,धातृ{1}{पुं-ए.},धातृ+{0/ने},लोक के व्यवस्थापक,supporter of the Creation
रिपु-निषूदनः,B-A,रिपुनिषूदन{1}{पुं-ए.},रिपुनिषूदन+{0/ने},शत्रुओं के विनाशक,slayer of his enemies
3.2.Aरक्षिता,3.2.CB-A,3.2.Dरक्षितृ{1}{पुं-ए.},3.2.Eरक्षितृ+{0/ने},3.2.Fरक्षक,3.2.Gvindicator
जीव-लोकस्य,B-F,जीवलोक{6}{पुं-ए.},जीवलोक+{का},संसार के,of living beings
धर्मस्य,B-F,धर्म{6}{पुं-ए.},धर्म+{का},धर्म की,of faith
परि-रक्षिता,B-A,परि-रक्षितृ{1}{पुं-ए.},परि-रक्षितृ+{0/ने},रक्षा करने वाले,staunch defender
13,-,13,13,13,13
4.1.Aरक्षिता,4.1.CB-A,4.1.Dरक्षितृ{1}{पुं-ए.},4.1.Eरक्षितृ+{0/ने},4.1.Fरक्षक,4.1.Gvindicator
स्वस्य,B-F,स्व{6}{पुं-ए.},स्व+{का},अपने,of own
धर्मस्य,B-F,धर्म{6}{पुं-ए.},धर्म+{का},धर्म की,of faith
स्व-जनस्य,B-F,स्व-जन{6}{पुं-ए.},स्व-जन+{का},अपने लोगों के,of own people
च,-,च,च,और,and
रक्षिता,B-A,रक्षितृ{1}{पुं-ए.},रक्षितृ+{0/ने},रक्षक,vindicator
4.2.Aवेद-वेदाङ्ग-तत्व-ज्ञः,4.2.CB-A,4.2.Dवेदवेदाङ्गतत्वज्ञ{1}{पुं-ए.},4.2.Eवेदवेदाङ्गतत्वज्ञ+{0/ने},4.2.Fवेदों एवं वेदाङ्गों के रहस्य को जानने वाले,4.2.Gknower of the truth of Vedas and Vedangas
धनुः-वेदे,B-G,धनुर्वेद{7}{पुं-ए.},धनुर्वेद+{में/पर},धनुर्वेद में,in archery
च,-,च,च,और,and
नि-ष्ठितः,B-A,निष्ठित{1}{पुं-ए.},निष्ठित+{0/ने},पारङ्गत,pastmaster
14,-,14,14,14,14
5.1.Aसर्व-शास्त्रार्थ-तत्व-ज्ञः,5.1.C-,5.1.Dसर्वशास्त्रार्थतत्वज्ञः{1}{पुं-ए.},5.1.Eसर्वशास्त्रार्थतत्वज्ञः+{0/ने},5.1.Fशास्त्रों के मर्मज्ञ,5.1.Gknower of the real meaning of the scriptures
स्मृतिमान्,B-A,स्मृतिमत्{1}{पुं-ए.},स्मृतिमत्+{0/ने},दृढ स्मृतिवाले,possessed of sharp memory
प्रतिभानवान्,B-A,प्रतिभानवत्{1}{पुं-ए.},प्रतिभानवत्+{0/ने},विलक्षणबुद्धिसम्पन्न,possessed of quick wit
5.2.Aसर्व-लोक-प्रियः,5.2.CB-A,5.2.Dसर्व-लोक-प्रिय{1}{पुं-ए.},5.2.Eसर्व-लोक-प्रिय+{0/ने},5.2.Fसभी के प्रिय,5.2.Gpopular amongst the people
साधुः,B-A,साधु{1}{पुं-ए.},साधु+{0/ने},सज्जन,pious
अदीनात्मा,B-A,अदीनात्मन्{1}{पुं-ए.},अदीनात्मन्+{0/ने},अदीन स्वभाव वाले,high minded one
वि-चक्षणः,B-A,विचक्षण{1}{पुं-ए.},विचक्षण+{0/ने},विवेकयुक्त,clever
15,-,15,15,15,15
6.1.Aसर्वदा,6.1.C-,6.1.Dसर्वदा,6.1.Eसर्वदा,6.1.Fहमेशा,6.1.Galways
अभिगतः,B-A,अभिगत{1}{पुं-ए.},अभिगत+{0/ने},घिरा हुआ,persons sought
सद्भिः,B-C,सत्{3}{पुं-ब.},सत्+{से3},सज्जनों से,by righteous
समुद्रः,B-A,समुद्र{1}{पुं-ए.},समुद्र+{0/ने},समुद्र (की),ocean
इव,-,इव,इव,के समान,like
सिन्धुभिः,B-C,सिन्धु{3}{स्त्री-ब.},सिन्धु+{से3},नदियों से,by rivers
6.2.Aआर्यः,6.2.CB-A,6.2.Dआर्य{1}{पुं-ए.},6.2.Eआर्य+{0/ने},6.2.Fपूज्य,6.2.Gnoble
सर्व-समः,B-A,सर्व-सम{1}{पुं-ए.},सर्व-सम+{0/ने},सर्व-समान,alike to all
च,-,च,च,और,and
एव,-,एव,एव,भी,also
सदा,-,सदा,सदा,हमेशा,always
एव,-,एव,एव,भी,also
प्रिय-दर्शनः,B-A,प्रियदर्शन{1}{पुं-ए.},प्रियदर्शन+{0/ने},प्रिय दिखाई देनेवाले,possessed of pleasing appearance
16,-,16,16,16,16
7.1.Aसः,7.1.CB-A,7.1.Dतद्{1}{पुं-ए.},7.1.Eतद्+{0/ने},7.1.Fवह,7.1.Ghe
च,-,च,च,और,and
सर्व-गुणोपेतः,B-A,सर्वगुणोपेत{1}{पुं-ए.},सर्वगुणोपेत+{0/ने},सब गुणों से युक्त,endowed with all excellences
कौसल्यानन्द-वर्धनः,B-A,कौसल्यानन्दवर्धन{1}{पुं-ए.},कौसल्यानन्दवर्धन+{0/ने},कौसल्या के आनन्द को बढाने वाला,enhances the delight of Kausalya
7.2.Aसमुद्रः,7.2.CB-A,7.2.Dसमुद्र{1}{पुं-ए.},7.2.Eसमुद्र+{0/ने},7.2.Fसमुद्र (की),7.2.Gocean
इव,-,इव,इव,के समान,like
गाम्भीर्ये,B-G,गाम्भीर्य{7}{नपुं-ए.},गाम्भीर्य+{में/पर},गहराई में,in profoundity
धैर्येण,B-C,धैर्य{3}{पुं-ए.},धैर्य+{से3},धैर्य से,in firmness
हिमवान्,B-A,हिमवत्{1}{पुं-ए.},हिमवत्+{0/ने},हिमालय,Himalaya
इव,-,इव,इव,के समान,like
17,-,17,17,17,17
8.1.Aविष्णुना,8.1.CB-C,8.1.Dविष्णु{3}{पुं-ए.},8.1.Eविष्णु+{से3},8.1.Fविष्णु के,8.1.GVishnu
सदृशः,B-A,सदृश{1}{पुं-ए.},सदृश+{0/ने},समान,like
वीर्ये,B-G,वीर्य{7}{नपुं-ए.},वीर्य+{में/पर},पराक्रम में,in prowess
सोमवत्,B-A,सोमवत्{1}{पुं-ए.},सोमवत्+{0/ने},चन्द्र की तरह,like the moon
प्रिय-दर्शनः,B-A,प्रियदर्शन{1}{पुं-ए.},प्रियदर्शन+{0/ने},प्रिय दिखाई देनेवाले,possessed of pleasing appearance
8.2.Aकालाग्नि-सदृशः,8.2.CB-A,8.2.Dकालाग्नि-सदृश{1}{पुं-ए.},8.2.Eकालाग्नि-सदृश+{0/ने},8.2.Fकालाग्नि-समान,8.2.Gresembling the destructive fire
क्रोधे,B-G,क्रोध{7}{पुं-ए.},क्रोध+{में/पर},क्रोध में,in anger
क्षमया,B-C,क्षमा{3}{स्त्री-ए.},क्षमा+{से3},क्षमा में,in forbearance
पृथिवी-समः,B-A,पृथिवी-सम{1}{पुं-ए.},पृथिवी-सम+{0/ने},पृथिवी के समान,counter part of earth
18,-,18,18,18,18
9.1.Aधनदेन,9.1.CB-C,9.1.Dधनद{3}{पुं-ए.},9.1.Eधनद+{से3},9.1.Fकुबेर के,9.1.Gwith Kubera (the god of wealth)
समः,B-A,सम{1}{पुं-ए.},सम+{0/ने},समान,just like
त्यागे,B-G,त्याग{7}{पुं-ए.},त्याग+{में/पर},दान में,in liberality
सत्ये,B-G,सत्य{7}{नपुं-ए.},सत्य+{में/पर},सत्य में,in truthfulness
धर्मः,B-A,धर्म{1}{पुं-ए.},धर्म+{0/ने},धर्मदेव,the god of piety
इव,-,इव,इव,के समान,like
अपरः,B-A,अपर{1}{पुं-ए.},अपर+{0/ने},दूसरा,another
9.2.Aतम्,9.2.CB-B,9.2.Dतद्{2}{पुं-ए.},9.2.Eतद्+{को2},9.2.Fराम को,9.2.Gaforesaid
एवं-गुण-सम्पन्नम्,B-B,एवंगुणसम्पन्न{2}{पुं-ए.},एवंगुणसम्पन्न+{को2},पूर्व में कहे गए गुणों से सम्पन्न,endowed with the aforesaid qualities
रामम्,B-B,राम{2}{पुं-ए.},राम+{को2},राम,by shri Rama
सत्य-परा-क्रमम्,-,सत्य-परा-क्रम{2}{पुं-ए.},सत्य-परा-क्रम+{को2},अमोघ पराक्रम वाले,possessed of unfailing prowess
10.1.Aज्येष्ठं,10.1.CB-B,10.1.Dज्येष्ठ{2}{पुं-ए.},10.1.Eज्येष्ठ+{को2},10.1.Fसबसे बडे,10.1.Geldest
ज्येष्ठ-गुणैः,B-C,ज्येष्ठगुण{3}{पुं-ब.},ज्येष्ठगुण+{से3},उत्तम गुणों से,with highest virtues
युक्तम्,B-B,युक्त{2}{पुं-ए.},युक्त+{को2},लगे हुए,endowed
प्रियम्,B-B,प्रिय{2}{पुं-ए.},प्रिय+{को2},प्रिय,be loved
दशरथः,B-A,दशरथ{1}{पुं-ए.},दशरथ+{0/ने},दशरथ,Dasharatha
सुतम्,B-B,सुत{2}{पुं-ए.},सुत+{को2},पुत्र को,son
10.2.Aप्रकृतीनां,10.2.CB-F,10.2.Dप्रकृति{6}{स्त्री-ब.},10.2.Eप्रकृति+{का},10.2.Fप्रजा के,10.2.Gof the people
हितैः,B-C,हित{3}{नपुं-ब.},हित+{से3},कल्याण में,to the interests
युक्तम्,B-B,युक्त{2}{पुं-ए.},युक्त+{को2},लगे हुए,endowed
